,summary,config,name
0,"{'_runtime': 349.849416784, '_step': 39, '_timestamp': 1763515258.792534, 'alpha': 0.8999999761581421, 'alpha_logit': 2.197224378585815, 'avg_cur_unique_R': 0.08747744263382629, 'backward_avg_action_prob_eval': 0.17988698184490204, 'backward_avg_action_prob_test': 0.17988698184490204, 'backward_avg_policy_entropy_test': 2.116780996322632, 'backward_policy_entropy_eval': 2.116780996322632, 'clip_scale_avg_interval': 1, 'clip_trigger_rate_interval': 0, 'elbo_test': 43.86931040883064, 'elbo_unscaled_test': 41.26751548051834, 'eubo_test': 43.93555143857002, 'eubo_unscaled_test': 40.80497314691544, 'exp_weight': 0.81475, 'forward_avg_action_prob_eval': 0.05528992973268032, 'forward_avg_action_prob_test': 0.05314663622528314, 'forward_policy_entropy_eval': 2.963772729039192, 'forward_policy_entropy_test': 2.963349138021469, 'loss': 0.0115759689360857, 'mean_R': 0.11926459714396942, 'mean_top_1000_R': 0.3794154382050038, 'mean_top_1000_diversity': 0.33456205036066267, 'mean_top_1000_similarity': 0.6654379496393373, 'mean_top_100_R': 0.4680253204703331, 'mean_top_100_diversity': 0.26144056031806673, 'mean_top_100_similarity': 0.7385594396819333, 'mean_top_10_diversity': 0.20350502959198613, 'mean_top_10_similarity': 0.7964949704080139, 'mean_top_50_diversity': 0.2381232018499012, 'mean_top_50_similarity': 0.7618767981500988, 'modes': 2599, 'num_cur_unique_R': 16, 'pearson_corr_test': 0.9527868619068832, 'pearson_unscaled_test': 0.9527868619068832, 'spearman_corr_test': 0.95066903256538, 'spearman_unscaled_test': 0.95066903256538, 'step': 1950, 'top_1000_count': 1000, 'top_100_count': 100, 'top_10_count': 10, 'top_50_count': 50, 'unique_samples': 31688}",{},ss(1)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(small)_m(db_gfn)_a(0.9)
1,"{'_runtime': 2188.286372481, '_step': 200, '_timestamp': 1763514700.3260918, 'action_dim': 30, 'alpha': 0.5036777853965759, 'alpha_init': 0.7, 'alpha_logit': 0.014711353927850723, 'alpha_lr': 0.001, 'alpha_sched': 'hold_exp', 'alpha_train_first_steps': False, 'alpha_trainable': False, 'alpha_training_scheme': 'joint', 'alpha_warm_frac': 0.9, 'avg_cur_unique_R': 0.0013263322213209574, 'backward_avg_action_prob_eval': 0.17988698184490204, 'backward_avg_action_prob_test': 0.17988698184490204, 'backward_avg_policy_entropy_test': 2.116780996322632, 'backward_policy_entropy_eval': 2.116780996322632, 'bufsize': 16, 'clip_scale_avg_interval': 1, 'clip_trigger_rate_interval': 0, 'elbo_test': 0.29927900433540344, 'elbo_unscaled_test': 3.665502324700355, 'enable_qgfn': False, 'eubo_test': 0.29029906606674194, 'eubo_unscaled_test': 6.551455549955368, 'exp_weight': 0.05, 'exp_weight_final': 0.05, 'exp_weight_sched': 'linear', 'exp_weight_warm_frac': 0, 'fl': False, 'forward_avg_action_prob_eval': 0.07215545419603586, 'forward_avg_action_prob_test': 0.05273937417566776, 'forward_policy_entropy_eval': 2.85683074593544, 'forward_policy_entropy_test': 2.8347327558994295, 'grad_clip_norm': 2, 'learning_rate': 0.0001, 'loss': 0.00455778231844306, 'mbsize': 16, 'mean_R': 0.004516605567036862, 'mean_top_1000_R': 0.04939847083389759, 'mean_top_1000_diversity': 0.2616680777178587, 'mean_top_1000_similarity': 0.7383319222821413, 'mean_top_100_R': 0.06947194386273622, 'mean_top_100_diversity': 0.19384661598098665, 'mean_top_100_similarity': 0.8061533840190134, 'mean_top_10_diversity': 0.1298701298701298, 'mean_top_10_similarity': 0.8701298701298702, 'mean_top_50_diversity': 0.1769322071007774, 'mean_top_50_similarity': 0.8230677928992226, 'method': 'tb_gfn', 'mode_threshold': 0.25, 'model_seed': 0, 'modes': 0, 'n_eval_steps': 50, 'n_hid': 256, 'n_layers': 2, 'n_test_steps': 50, 'n_train_steps': 10000, 'num_cur_unique_R': 11, 'num_threads': 8, 'opt_alpha_interval': 1000, 'opt_alpha_steps': 100, 'pearson_corr_test': 0.9992810062875566, 'pearson_unscaled_test': 0.9992810062875566, 'qgfn_lr': 0.001, 'qgfn_n_step': 20, 'qgfn_p': 0.5, 'qgfn_reward_scale': 1, 'qgfn_scheduler': 'cosine', 'qgfn_scheduler_steps': 2000, 'qgfn_target_interval': 100, 'qgfn_tau': 0.95, 'qgfn_variant': 'p_greedy', 'rand_pb': 1, 'reward_temp': 0.5, 'sampling_seed': 2, 'set_size': 20, 'size': 'small', 'spearman_corr_test': 0.9993734612794916, 'spearman_unscaled_test': 0.9993734612794916, 'step': 9999, 'steps_to_update_sampling_model': 10000, 'subtb_lambda': 0.99, 'tb_lr': 0.001, 'tb_z_lr': 0.1, 'teacher_beta': 1, 'teacher_lr': 0.001, 'teacher_offpolicy_steps': 2, 'teacher_reward_alpha': 0, 'teacher_reward_c': 19, 'teacher_student_steps': 2, 'teacher_use_log_reward': True, 'temp': 1, 'test_set_size': 1000, 'top_1000_count': 1000, 'top_100_count': 100, 'top_10_count': 10, 'top_50_count': 50, 'top_k': [10, 50, 100, 1000], 'training_mode': 'online', 'unique_samples': 127567, 'use_alpha_scheduler': True, 'use_exp_weight_decay': 1, 'use_external_sampling_model': False, 'use_grad_clip': False, 'use_modified_reward': False, 'use_replay_buffer': False, 'wdb': True, 'wdb_group': 'set_temp_rebuttal'}",{},ss(2)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(small)_m(tb_gfn)_a(0.7)
2,"{'_runtime': 490.621644988, '_step': 57, '_timestamp': 1763515758.4274964, 'alpha': 0.5, 'alpha_logit': 0, 'avg_cur_unique_R': 0.031495465053012595, 'backward_avg_action_prob_eval': 0.17988698184490204, 'backward_avg_action_prob_test': 0.17988698184490204, 'backward_avg_policy_entropy_test': 2.116780996322632, 'backward_policy_entropy_eval': 2.116780996322632, 'clip_scale_avg_interval': 1, 'clip_trigger_rate_interval': 0, 'elbo_test': -5.744093678891659, 'elbo_unscaled_test': -5.744093678891659, 'eubo_test': -3.404147215604782, 'eubo_unscaled_test': -3.404147215604782, 'exp_weight': 0.72925, 'forward_avg_action_prob_eval': 0.06980005302466452, 'forward_avg_action_prob_test': 0.05284977139160037, 'forward_policy_entropy_eval': 2.8400574177503586, 'forward_policy_entropy_test': 2.8589907929897307, 'loss': 0.0009216619073413312, 'mean_R': 0.07763088475629745, 'mean_top_1000_R': 0.21474223536252976, 'mean_top_1000_diversity': 0.2699681017914325, 'mean_top_1000_similarity': 0.7300318982085675, 'mean_top_100_R': 0.26089014768600466, 'mean_top_100_diversity': 0.20138178319995947, 'mean_top_100_similarity': 0.7986182168000405, 'mean_top_10_diversity': 0.12794612794612792, 'mean_top_10_similarity': 0.8720538720538721, 'mean_top_50_diversity': 0.18141793137354756, 'mean_top_50_similarity': 0.8185820686264524, 'modes': 76, 'num_cur_unique_R': 16, 'pearson_corr_test': 0.98165598184676, 'pearson_unscaled_test': 0.98165598184676, 'spearman_corr_test': 0.9831520166248292, 'spearman_unscaled_test': 0.9831520166248292, 'step': 2850, 'top_1000_count': 1000, 'top_100_count': 100, 'top_10_count': 10, 'top_50_count': 50, 'unique_samples': 39420}",{},ss(3)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(small)_m(fl_db_gfn)_a(0.5)
3,"{'_runtime': 337.086040368, '_step': 26, '_timestamp': 1763486054.324119, 'alpha': 0.8999999761581421, 'alpha_logit': 2.197224378585815, 'avg_cur_unique_R': 0.275985320409139, 'backward_avg_action_prob_eval': 0.17988698184490204, 'backward_avg_action_prob_test': 0.17988698184490204, 'backward_avg_policy_entropy_test': 2.116780996322632, 'backward_policy_entropy_eval': 2.116780996322632, 'clip_scale_avg_interval': 1, 'clip_trigger_rate_interval': 0, 'elbo_test': 3.261832617223263, 'elbo_unscaled_test': 2.047546908259392, 'eubo_test': 16.46791998410225, 'eubo_unscaled_test': 13.337341692447662, 'exp_weight': 0.8765000000000001, 'forward_avg_action_prob_eval': 0.11833345238119364, 'forward_avg_action_prob_test': 0.053288708250969645, 'forward_policy_entropy_eval': 2.6105551570653915, 'forward_policy_entropy_test': 2.637374849319458, 'loss': 0.009431502781808376, 'mean_R': 0.24558493318767535, 'mean_top_1000_R': 0.4543567664325237, 'mean_top_1000_diversity': 0.27662775134364503, 'mean_top_1000_similarity': 0.723372248656355, 'mean_top_100_R': 0.5059436008334159, 'mean_top_100_diversity': 0.2090137208714332, 'mean_top_100_similarity': 0.7909862791285668, 'mean_top_10_diversity': 0.13179413179413169, 'mean_top_10_similarity': 0.8682058682058683, 'mean_top_50_diversity': 0.1892124438708137, 'mean_top_50_similarity': 0.8107875561291863, 'modes': 7562, 'num_cur_unique_R': 9, 'pearson_corr_test': 0.850593477221883, 'pearson_unscaled_test': 0.850593477221883, 'spearman_corr_test': 0.8507075850009937, 'spearman_unscaled_test': 0.8507075850009937, 'step': 1300, 'top_1000_count': 1000, 'top_100_count': 100, 'top_10_count': 10, 'top_50_count': 50, 'unique_samples': 18516}",{},ss(4)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(small)_m(fl_db_gfn)_a(0.9)
4,"{'_runtime': 2408.449632577, '_step': 200, '_timestamp': 1763525486.6455631, 'action_dim': 30, 'alpha': 0.5073556303977966, 'alpha_init': 0.9, 'alpha_logit': 0.02942462638020515, 'alpha_lr': 0.001, 'alpha_sched': 'hold_exp', 'alpha_train_first_steps': False, 'alpha_trainable': False, 'alpha_training_scheme': 'joint', 'alpha_warm_frac': 0.9, 'avg_cur_unique_R': 0.09255033498629928, 'backward_avg_action_prob_eval': 0.17988698184490204, 'backward_avg_action_prob_test': 0.17988698184490204, 'backward_avg_policy_entropy_test': 2.116780996322632, 'backward_policy_entropy_eval': 2.116780996322632, 'bufsize': 16, 'clip_scale_avg_interval': 1, 'clip_trigger_rate_interval': 0, 'elbo_test': 0.6110792756080627, 'elbo_unscaled_test': -2.128308892250061, 'enable_qgfn': False, 'eubo_test': 0.59632821393013, 'eubo_unscaled_test': -2.5342500777244568, 'exp_weight': 0.05, 'exp_weight_final': 0.05, 'exp_weight_sched': 'linear', 'exp_weight_warm_frac': 0, 'fl': False, 'forward_avg_action_prob_eval': 0.055013386299833655, 'forward_avg_action_prob_test': 0.05314421885088086, 'forward_policy_entropy_eval': 2.966823622584343, 'forward_policy_entropy_test': 2.966296188592911, 'grad_clip_norm': 2, 'learning_rate': 0.0001, 'loss': 0.0013992475578561423, 'mbsize': 16, 'mean_R': 0.08942648789877569, 'mean_top_1000_R': 0.37528838485479354, 'mean_top_1000_diversity': 0.34214407366114563, 'mean_top_1000_similarity': 0.6578559263388544, 'mean_top_100_R': 0.45769317120313646, 'mean_top_100_diversity': 0.26921408031293304, 'mean_top_100_similarity': 0.730785919687067, 'mean_top_10_diversity': 0.1894305372566243, 'mean_top_10_similarity': 0.8105694627433757, 'mean_top_50_diversity': 0.24783495238862752, 'mean_top_50_similarity': 0.7521650476113725, 'method': 'db_gfn', 'mode_threshold': 0.25, 'model_seed': 0, 'modes': 3675, 'n_eval_steps': 50, 'n_hid': 256, 'n_layers': 2, 'n_test_steps': 50, 'n_train_steps': 10000, 'num_cur_unique_R': 16, 'num_threads': 8, 'opt_alpha_interval': 1000, 'opt_alpha_steps': 100, 'pearson_corr_test': 0.9873360779649268, 'pearson_unscaled_test': 0.9873360779649268, 'qgfn_lr': 0.001, 'qgfn_n_step': 20, 'qgfn_p': 0.5, 'qgfn_reward_scale': 1, 'qgfn_scheduler': 'cosine', 'qgfn_scheduler_steps': 2000, 'qgfn_target_interval': 100, 'qgfn_tau': 0.95, 'qgfn_variant': 'p_greedy', 'rand_pb': 1, 'reward_temp': 2, 'sampling_seed': 2, 'set_size': 20, 'size': 'small', 'spearman_corr_test': 0.9861483091536728, 'spearman_unscaled_test': 0.9861483091536728, 'step': 9999, 'steps_to_update_sampling_model': 10000, 'subtb_lambda': 0.99, 'tb_lr': 0.001, 'tb_z_lr': 0.1, 'teacher_beta': 1, 'teacher_lr': 0.001, 'teacher_offpolicy_steps': 2, 'teacher_reward_alpha': 0, 'teacher_reward_c': 19, 'teacher_student_steps': 2, 'teacher_use_log_reward': True, 'temp': 1, 'test_set_size': 1000, 'top_1000_count': 1000, 'top_100_count': 100, 'top_10_count': 10, 'top_50_count': 50, 'top_k': [10, 50, 100, 1000], 'training_mode': 'online', 'unique_samples': 162277, 'use_alpha_scheduler': True, 'use_exp_weight_decay': 1, 'use_external_sampling_model': False, 'use_grad_clip': False, 'use_modified_reward': False, 'use_replay_buffer': False, 'wdb': True, 'wdb_group': 'set_temp_rebuttal'}",{},ss(2)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(small)_m(db_gfn)_a(0.9)
5,"{'_runtime': 41.862066632, '_step': 4, '_timestamp': 1763513811.350707, 'alpha': 0.5, 'alpha_logit': 0, 'avg_cur_unique_R': 0.017654476369110248, 'backward_avg_action_prob_eval': 0.17988698184490204, 'backward_avg_action_prob_test': 0.17988698184490204, 'backward_avg_policy_entropy_test': 2.116780996322632, 'backward_policy_entropy_eval': 2.116780996322632, 'clip_scale_avg_interval': 1, 'clip_trigger_rate_interval': 0, 'elbo_test': -0.8919595181941986, 'elbo_unscaled_test': 1.2400798350572586, 'eubo_test': 16.001084863185884, 'eubo_unscaled_test': 22.262241347074507, 'exp_weight': 0.981, 'forward_avg_action_prob_eval': 0.1345705632120371, 'forward_avg_action_prob_test': 0.05194870580546558, 'forward_policy_entropy_eval': 2.4895063638687134, 'forward_policy_entropy_test': 2.399592684030533, 'loss': 0.0406540110707283, 'mean_R': 0.015288402735092492, 'mean_top_1000_R': 0.0314210065882653, 'mean_top_1000_diversity': 0.3161912247264508, 'mean_top_1000_similarity': 0.6838087752735492, 'mean_top_100_R': 0.05920191287994385, 'mean_top_100_diversity': 0.230092112542728, 'mean_top_100_similarity': 0.769907887457272, 'mean_top_10_diversity': 0.1577263316393751, 'mean_top_10_similarity': 0.8422736683606249, 'mean_top_50_diversity': 0.20757710198702728, 'mean_top_50_similarity': 0.7924228980129727, 'modes': 0, 'num_cur_unique_R': 15, 'pearson_corr_test': 0.9581491291207996, 'pearson_unscaled_test': 0.9581491291207996, 'spearman_corr_test': 0.9591185838637376, 'spearman_unscaled_test': 0.9591185838637376, 'step': 200, 'top_1000_count': 1000, 'top_100_count': 100, 'top_10_count': 10, 'top_50_count': 50, 'unique_samples': 3176}",{},ss(0)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(small)_m(fl_db_gfn)_a(0.5)
6,"{'_runtime': 36.009982755, '_step': 4, '_timestamp': 1763508946.967747, 'alpha': 0.5, 'alpha_logit': 0, 'avg_cur_unique_R': 0.014545216065016575, 'backward_avg_action_prob_eval': 0.17988698184490204, 'backward_avg_action_prob_test': 0.17988698184490204, 'backward_avg_policy_entropy_test': 2.116780996322632, 'backward_policy_entropy_eval': 2.116780996322632, 'clip_scale_avg_interval': 1, 'clip_trigger_rate_interval': 0, 'elbo_test': 0.22865477204322815, 'elbo_unscaled_test': 2.3522648364305496, 'eubo_test': 16.364539403438567, 'eubo_unscaled_test': 22.625695887327193, 'exp_weight': 0.981, 'forward_avg_action_prob_eval': 0.13468508142977953, 'forward_avg_action_prob_test': 0.05183772646822035, 'forward_policy_entropy_eval': 2.501155599951744, 'forward_policy_entropy_test': 2.4013334114551546, 'loss': 0.06439747661352158, 'mean_R': 0.014922712346289302, 'mean_top_1000_R': 0.03097971310466528, 'mean_top_1000_diversity': 0.31731849618090346, 'mean_top_1000_similarity': 0.6826815038190965, 'mean_top_100_R': 0.05838792987167835, 'mean_top_100_diversity': 0.233386840359194, 'mean_top_100_similarity': 0.766613159640806, 'mean_top_10_diversity': 0.1542129368216324, 'mean_top_10_similarity': 0.8457870631783676, 'mean_top_50_diversity': 0.21084581907295907, 'mean_top_50_similarity': 0.7891541809270409, 'modes': 0, 'num_cur_unique_R': 16, 'pearson_corr_test': 0.9518379893754312, 'pearson_unscaled_test': 0.9518379893754312, 'spearman_corr_test': 0.9536457646926402, 'spearman_unscaled_test': 0.9536457646926402, 'step': 200, 'top_1000_count': 1000, 'top_100_count': 100, 'top_10_count': 10, 'top_50_count': 50, 'unique_samples': 3172}",{},ss(4)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(small)_m(fl_db_gfn)_a(0.5)
7,"{'_runtime': 40.635453553, '_step': 4, '_timestamp': 1763515908.367025, 'alpha': 0.8999999761581421, 'alpha_logit': 2.197224378585815, 'avg_cur_unique_R': 0.16894301865249872, 'backward_avg_action_prob_eval': 0.17988698184490204, 'backward_avg_action_prob_test': 0.17988698184490204, 'backward_avg_policy_entropy_test': 2.116780996322632, 'backward_policy_entropy_eval': 2.116780996322632, 'clip_scale_avg_interval': 1, 'clip_trigger_rate_interval': 0, 'elbo_test': 11.093346692621708, 'elbo_unscaled_test': 9.089271739125252, 'eubo_test': 40.544748433351515, 'eubo_unscaled_test': 37.41417014169693, 'exp_weight': 0.981, 'forward_avg_action_prob_eval': 0.1561835492029786, 'forward_avg_action_prob_test': 0.05387137288507074, 'forward_policy_entropy_eval': 2.44546802341938, 'forward_policy_entropy_test': 1.858586454153061, 'loss': 0.8071904182434082, 'mean_R': 0.08009410405616837, 'mean_top_1000_R': 0.1485519140660763, 'mean_top_1000_diversity': 0.390942820634315, 'mean_top_1000_similarity': 0.6090571793656849, 'mean_top_100_R': 0.27361338064074514, 'mean_top_100_diversity': 0.3143572643300844, 'mean_top_100_similarity': 0.6856427356699156, 'mean_top_10_diversity': 0.2384298471254992, 'mean_top_10_similarity': 0.7615701528745008, 'mean_top_50_diversity': 0.28803057102613183, 'mean_top_50_similarity': 0.7119694289738682, 'modes': 57, 'num_cur_unique_R': 16, 'pearson_corr_test': 0.11945302356801152, 'pearson_unscaled_test': 0.11945302356801152, 'spearman_corr_test': 0.16070331191615048, 'spearman_unscaled_test': 0.16070331191615048, 'step': 200, 'top_1000_count': 1000, 'top_100_count': 100, 'top_10_count': 10, 'top_50_count': 50, 'unique_samples': 3275}",{},ss(2)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(small)_m(db_gfn)_a(0.9)
8,"{'_runtime': 42.313441329, '_step': 4, '_timestamp': 1763512133.0865262, 'alpha': 0.8999999761581421, 'alpha_logit': 2.197224378585815, 'avg_cur_unique_R': 0.17202016760905584, 'backward_avg_action_prob_eval': 0.17988698184490204, 'backward_avg_action_prob_test': 0.17988698184490204, 'backward_avg_policy_entropy_test': 2.116780996322632, 'backward_policy_entropy_eval': 2.116780996322632, 'clip_scale_avg_interval': 1, 'clip_trigger_rate_interval': 0, 'elbo_test': 11.34532804787159, 'elbo_unscaled_test': 9.197528511285782, 'eubo_test': 40.553289647340776, 'eubo_unscaled_test': 37.42271135568619, 'exp_weight': 0.981, 'forward_avg_action_prob_eval': 0.15075126755982635, 'forward_avg_action_prob_test': 0.053407729116268454, 'forward_policy_entropy_eval': 2.4787109792232513, 'forward_policy_entropy_test': 1.845855654358864, 'loss': 1.0176100730895996, 'mean_R': 0.1193826560793607, 'mean_top_1000_R': 0.207407116740942, 'mean_top_1000_diversity': 0.40223782236709726, 'mean_top_1000_similarity': 0.5977621776329027, 'mean_top_100_R': 0.34739855527877805, 'mean_top_100_diversity': 0.3359902309503132, 'mean_top_100_similarity': 0.6640097690496868, 'mean_top_10_diversity': 0.26278352887048506, 'mean_top_10_similarity': 0.7372164711295149, 'mean_top_50_diversity': 0.32070898663267455, 'mean_top_50_similarity': 0.6792910133673254, 'modes': 201, 'num_cur_unique_R': 15, 'pearson_corr_test': 0.42583295277474337, 'pearson_unscaled_test': 0.42583295277474337, 'spearman_corr_test': 0.45672555701333456, 'spearman_unscaled_test': 0.45672555701333456, 'step': 200, 'top_1000_count': 1000, 'top_100_count': 100, 'top_10_count': 10, 'top_50_count': 50, 'unique_samples': 3278}",{},ss(1)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(small)_m(db_gfn)_a(0.9)
9,"{'_runtime': 151.290566494, '_step': 16, '_timestamp': 1763485632.9335678, 'alpha': 0.8999999761581421, 'alpha_logit': 2.197224378585815, 'avg_cur_unique_R': 0.10460711224004626, 'backward_avg_action_prob_eval': 0.17988698184490204, 'backward_avg_action_prob_test': 0.17988698184490204, 'backward_avg_policy_entropy_test': 2.116780996322632, 'backward_policy_entropy_eval': 2.116780996322632, 'clip_scale_avg_interval': 1, 'clip_trigger_rate_interval': 0, 'elbo_test': 42.494552955031395, 'elbo_unscaled_test': 40.23628064990043, 'eubo_test': 43.30820063138008, 'eubo_unscaled_test': 40.177622339725495, 'exp_weight': 0.924, 'forward_avg_action_prob_eval': 0.057574397418648005, 'forward_avg_action_prob_test': 0.05305982465296984, 'forward_policy_entropy_eval': 2.9461601227521896, 'forward_policy_entropy_test': 2.9492858300209046, 'loss': 0.0924431011080742, 'mean_R': 0.15515957328198252, 'mean_top_1000_R': 0.3752488551437855, 'mean_top_1000_diversity': 0.32010688805011056, 'mean_top_1000_similarity': 0.6798931119498894, 'mean_top_100_R': 0.47409397214651106, 'mean_top_100_diversity': 0.24018253683078816, 'mean_top_100_similarity': 0.7598174631692118, 'mean_top_10_diversity': 0.19503523851349944, 'mean_top_10_similarity': 0.8049647614865005, 'mean_top_50_diversity': 0.2217548792526507, 'mean_top_50_similarity': 0.7782451207473493, 'modes': 2147, 'num_cur_unique_R': 16, 'pearson_corr_test': 0.8462375231273738, 'pearson_unscaled_test': 0.8462375231273738, 'spearman_corr_test': 0.8436834610496854, 'spearman_unscaled_test': 0.8436834610496854, 'step': 800, 'top_1000_count': 1000, 'top_100_count': 100, 'top_10_count': 10, 'top_50_count': 50, 'unique_samples': 12920}",{},ss(0)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(small)_m(db_gfn)_a(0.9)
