,summary,config,name
0,{},{},ss(1)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.4)
1,{},{},ss(1)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.6)
2,{},{},ss(0)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.7)
3,"{'_runtime': 4352.594040345, '_step': 200, '_timestamp': 1768151234.6908605, 'action_dim': 100, 'alpha': 0.5018389225006104, 'alpha_init': 0.6, 'alpha_logit': 0.007355749607086182, 'alpha_lr': 0.001, 'alpha_sched': 'hold_exp', 'alpha_train_first_steps': False, 'alpha_trainable': False, 'alpha_training_scheme': 'joint', 'alpha_warm_frac': 0.9, 'avg_cur_unique_R': 34696.9720535779, 'backward_avg_action_prob_eval': 0.06206849217414856, 'backward_avg_action_prob_test': 0.06206849217414856, 'backward_avg_policy_entropy_test': 3.4209141731262207, 'backward_policy_entropy_eval': 3.4209141731262207, 'bufsize': 16, 'ckpt_every': 100, 'ckpt_save_history': True, 'ckpt_save_test_set': False, 'clip_scale_avg_interval': 1, 'clip_trigger_rate_interval': 0, 'elbo_test': -28.9671234190464, 'elbo_unscaled_test': -28.9671234190464, 'enable_qgfn': False, 'eubo_test': -12.999290491878986, 'eubo_unscaled_test': -12.999290491878986, 'exp_weight': 0.05, 'exp_weight_final': 0.05, 'exp_weight_sched': 'linear', 'exp_weight_warm_frac': 0, 'fl': True, 'forward_avg_action_prob_eval': 0.03367868298664689, 'forward_avg_action_prob_test': 0.019923619013279676, 'forward_policy_entropy_eval': 3.826472520828247, 'forward_policy_entropy_test': 3.898190093994141, 'grad_clip_norm': 2, 'learning_rate': 0.0001, 'loss': 0.30210578441619873, 'mbsize': 16, 'mean_R': 96392.45544634949, 'mean_top_1000_R': 580345.9804419134, 'mean_top_1000_diversity': 0.1306855672987619, 'mean_top_1000_similarity': 0.8693144327012381, 'mean_top_100_R': 751330.8317956489, 'mean_top_100_diversity': 0.11160282306258318, 'mean_top_100_similarity': 0.8883971769374168, 'mean_top_10_diversity': 0.10044104915621276, 'mean_top_10_similarity': 0.8995589508437872, 'mean_top_50_diversity': 0.10733995319785485, 'mean_top_50_similarity': 0.8926600468021452, 'method': 'subtb_gfn', 'mode_threshold': 700000, 'model_seed': 0, 'modes': 177, 'n_eval_steps': 50, 'n_hid': 256, 'n_layers': 2, 'n_test_steps': 50, 'n_train_steps': 10000, 'num_cur_unique_R': 16, 'num_threads': 8, 'opt_alpha_interval': 1000, 'opt_alpha_steps': 100, 'pearson_corr_test': 0.8774645170525293, 'pearson_unscaled_test': 0.8774645170525293, 'qgfn_lr': 0.001, 'qgfn_n_step': 20, 'qgfn_p': 0.5, 'qgfn_reward_scale': 1, 'qgfn_scheduler': 'cosine', 'qgfn_scheduler_steps': 2000, 'qgfn_target_interval': 100, 'qgfn_tau': 0.95, 'qgfn_variant': 'p_greedy', 'rand_pb': 1, 'resume': True, 'reward_temp': 1, 'sampling_seed': 3, 'set_size': 80, 'size': 'large', 'spearman_corr_test': 0.863899643899644, 'spearman_unscaled_test': 0.863899643899644, 'step': 9999, 'steps_to_update_sampling_model': 10000, 'subtb_lambda': 0.99, 'tb_lr': 0.001, 'tb_z_lr': 0.1, 'teacher_beta': 1, 'teacher_lr': 0.001, 'teacher_offpolicy_steps': 2, 'teacher_reward_alpha': 0, 'teacher_reward_c': 19, 'teacher_student_steps': 2, 'teacher_use_log_reward': True, 'temp': 1, 'test_set_size': 1000, 'top_1000_count': 1000, 'top_100_count': 100, 'top_10_count': 10, 'top_50_count': 50, 'top_k': [10, 50, 100, 1000], 'training_mode': 'online', 'unique_samples': 163197, 'use_alpha_scheduler': True, 'use_exp_weight_decay': 1, 'use_external_sampling_model': False, 'use_grad_clip': False, 'use_modified_reward': False, 'use_replay_buffer': False, 'wdb': True}",{},ss(3)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.6)
4,{},{},ss(3)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.5)
5,"{'_runtime': 4179.552037719, '_step': 200, '_timestamp': 1768151061.7507002, 'action_dim': 100, 'alpha': 0.4963221848011017, 'alpha_init': 0.3, 'alpha_logit': -0.014711599797010422, 'alpha_lr': 0.001, 'alpha_sched': 'hold_exp', 'alpha_train_first_steps': False, 'alpha_trainable': False, 'alpha_training_scheme': 'joint', 'alpha_warm_frac': 0.9, 'avg_cur_unique_R': 10988.221964838966, 'backward_avg_action_prob_eval': 0.06206849217414856, 'backward_avg_action_prob_test': 0.06206849217414856, 'backward_avg_policy_entropy_test': 3.4209141731262207, 'backward_policy_entropy_eval': 3.4209141731262207, 'bufsize': 16, 'ckpt_every': 100, 'ckpt_save_history': True, 'ckpt_save_test_set': False, 'clip_scale_avg_interval': 1, 'clip_trigger_rate_interval': 0, 'elbo_test': -22.55270853638649, 'elbo_unscaled_test': -22.55270853638649, 'enable_qgfn': False, 'eubo_test': -17.063784266293048, 'eubo_unscaled_test': -17.063784266293048, 'exp_weight': 0.05, 'exp_weight_final': 0.05, 'exp_weight_sched': 'linear', 'exp_weight_warm_frac': 0, 'fl': True, 'forward_avg_action_prob_eval': 0.025535595952533185, 'forward_avg_action_prob_test': 0.019865275267511605, 'forward_policy_entropy_eval': 3.922855034470558, 'forward_policy_entropy_test': 3.9364365141391753, 'grad_clip_norm': 2, 'learning_rate': 0.0001, 'loss': 1.4067553281784058, 'mbsize': 16, 'mean_R': 29206.833322203172, 'mean_top_1000_R': 348706.1101333194, 'mean_top_1000_diversity': 0.1753493037071806, 'mean_top_1000_similarity': 0.8246506962928194, 'mean_top_100_R': 531584.5686113696, 'mean_top_100_diversity': 0.15298869545423632, 'mean_top_100_similarity': 0.8470113045457637, 'mean_top_10_diversity': 0.13230653164970974, 'mean_top_10_similarity': 0.8676934683502903, 'mean_top_50_diversity': 0.14833147109110725, 'mean_top_50_similarity': 0.8516685289088928, 'method': 'subtb_gfn', 'mode_threshold': 700000, 'model_seed': 0, 'modes': 8, 'n_eval_steps': 50, 'n_hid': 256, 'n_layers': 2, 'n_test_steps': 50, 'n_train_steps': 10000, 'num_cur_unique_R': 16, 'num_threads': 8, 'opt_alpha_interval': 1000, 'opt_alpha_steps': 100, 'pearson_corr_test': 0.9399852975428712, 'pearson_unscaled_test': 0.9399852975428712, 'qgfn_lr': 0.001, 'qgfn_n_step': 20, 'qgfn_p': 0.5, 'qgfn_reward_scale': 1, 'qgfn_scheduler': 'cosine', 'qgfn_scheduler_steps': 2000, 'qgfn_target_interval': 100, 'qgfn_tau': 0.95, 'qgfn_variant': 'p_greedy', 'rand_pb': 1, 'resume': True, 'reward_temp': 1, 'sampling_seed': 1, 'set_size': 80, 'size': 'large', 'spearman_corr_test': 0.93604106684919, 'spearman_unscaled_test': 0.93604106684919, 'step': 9999, 'steps_to_update_sampling_model': 10000, 'subtb_lambda': 0.99, 'tb_lr': 0.001, 'tb_z_lr': 0.1, 'teacher_beta': 1, 'teacher_lr': 0.001, 'teacher_offpolicy_steps': 2, 'teacher_reward_alpha': 0, 'teacher_reward_c': 19, 'teacher_student_steps': 2, 'teacher_use_log_reward': True, 'temp': 1, 'test_set_size': 1000, 'top_1000_count': 1000, 'top_100_count': 100, 'top_10_count': 10, 'top_50_count': 50, 'top_k': [10, 50, 100, 1000], 'training_mode': 'online', 'unique_samples': 163200, 'use_alpha_scheduler': True, 'use_exp_weight_decay': 1, 'use_external_sampling_model': False, 'use_grad_clip': False, 'use_modified_reward': False, 'use_replay_buffer': False, 'wdb': True}",{},ss(1)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.3)
6,{},{},ss(4)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.7)
7,"{'_runtime': 3842.88619051, '_step': 200, '_timestamp': 1768150725.5752387, 'action_dim': 100, 'alpha': 0.5, 'alpha_init': 0.5, 'alpha_logit': 0, 'alpha_lr': 0.001, 'alpha_sched': 'hold_exp', 'alpha_train_first_steps': False, 'alpha_trainable': False, 'alpha_training_scheme': 'joint', 'alpha_warm_frac': 0.9, 'avg_cur_unique_R': 49099.77845868681, 'backward_avg_action_prob_eval': 0.06206849217414856, 'backward_avg_action_prob_test': 0.06206849217414856, 'backward_avg_policy_entropy_test': 3.4209141731262207, 'backward_policy_entropy_eval': 3.4209141731262207, 'bufsize': 16, 'ckpt_every': 100, 'ckpt_save_history': True, 'ckpt_save_test_set': False, 'clip_scale_avg_interval': 1, 'clip_trigger_rate_interval': 0, 'elbo_test': -21.89752507209778, 'elbo_unscaled_test': -21.89752507209778, 'enable_qgfn': False, 'eubo_test': -8.33382998162508, 'eubo_unscaled_test': -8.33382998162508, 'exp_weight': 0.05, 'exp_weight_final': 0.05, 'exp_weight_sched': 'linear', 'exp_weight_warm_frac': 0, 'fl': True, 'forward_avg_action_prob_eval': 0.03281681030057371, 'forward_avg_action_prob_test': 0.01991938994638622, 'forward_policy_entropy_eval': 3.842865154147148, 'forward_policy_entropy_test': 3.895482716321945, 'grad_clip_norm': 2, 'learning_rate': 0.0001, 'loss': 0.41975390911102295, 'mbsize': 16, 'mean_R': 110443.09939474885, 'mean_top_1000_R': 625477.5889657491, 'mean_top_1000_diversity': 0.14427155414845028, 'mean_top_1000_similarity': 0.8557284458515497, 'mean_top_100_R': 769416.9632121924, 'mean_top_100_diversity': 0.1250521414932847, 'mean_top_100_similarity': 0.8749478585067153, 'mean_top_10_diversity': 0.10546060721034868, 'mean_top_10_similarity': 0.8945393927896513, 'mean_top_50_diversity': 0.1209423890381568, 'mean_top_50_similarity': 0.8790576109618432, 'method': 'subtb_gfn', 'mode_threshold': 700000, 'model_seed': 0, 'modes': 263, 'n_eval_steps': 50, 'n_hid': 256, 'n_layers': 2, 'n_test_steps': 50, 'n_train_steps': 10000, 'num_cur_unique_R': 16, 'num_threads': 8, 'opt_alpha_interval': 1000, 'opt_alpha_steps': 100, 'pearson_corr_test': 0.8822346593878052, 'pearson_unscaled_test': 0.8822346593878052, 'qgfn_lr': 0.001, 'qgfn_n_step': 20, 'qgfn_p': 0.5, 'qgfn_reward_scale': 1, 'qgfn_scheduler': 'cosine', 'qgfn_scheduler_steps': 2000, 'qgfn_target_interval': 100, 'qgfn_tau': 0.95, 'qgfn_variant': 'p_greedy', 'rand_pb': 1, 'resume': True, 'reward_temp': 1, 'sampling_seed': 1, 'set_size': 80, 'size': 'large', 'spearman_corr_test': 0.8714529700673291, 'spearman_unscaled_test': 0.8714529700673291, 'step': 9999, 'steps_to_update_sampling_model': 10000, 'subtb_lambda': 0.99, 'tb_lr': 0.001, 'tb_z_lr': 0.1, 'teacher_beta': 1, 'teacher_lr': 0.001, 'teacher_offpolicy_steps': 2, 'teacher_reward_alpha': 0, 'teacher_reward_c': 19, 'teacher_student_steps': 2, 'teacher_use_log_reward': True, 'temp': 1, 'test_set_size': 1000, 'top_1000_count': 1000, 'top_100_count': 100, 'top_10_count': 10, 'top_50_count': 50, 'top_k': [10, 50, 100, 1000], 'training_mode': 'online', 'unique_samples': 163199, 'use_alpha_scheduler': True, 'use_exp_weight_decay': 1, 'use_external_sampling_model': False, 'use_grad_clip': False, 'use_modified_reward': False, 'use_replay_buffer': False, 'wdb': True}",{},ss(1)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.5)
8,"{'_runtime': 3879.669743438, '_step': 200, '_timestamp': 1768150762.2281582, 'action_dim': 100, 'alpha': 0.5073556303977966, 'alpha_init': 0.9, 'alpha_logit': 0.02942462638020515, 'alpha_lr': 0.001, 'alpha_sched': 'hold_exp', 'alpha_train_first_steps': False, 'alpha_trainable': False, 'alpha_training_scheme': 'joint', 'alpha_warm_frac': 0.9, 'avg_cur_unique_R': 81361.68743835147, 'backward_avg_action_prob_eval': 0.06206849217414856, 'backward_avg_action_prob_test': 0.06206849217414856, 'backward_avg_policy_entropy_test': 3.4209141731262207, 'backward_policy_entropy_eval': 3.4209141731262207, 'bufsize': 16, 'ckpt_every': 100, 'ckpt_save_history': True, 'ckpt_save_test_set': False, 'clip_scale_avg_interval': 1, 'clip_trigger_rate_interval': 0, 'elbo_test': -9.777949452400208, 'elbo_unscaled_test': -9.777949452400208, 'enable_qgfn': False, 'eubo_test': 62.13590831488371, 'eubo_unscaled_test': 62.13590831488371, 'exp_weight': 0.05, 'exp_weight_final': 0.05, 'exp_weight_sched': 'linear', 'exp_weight_warm_frac': 0, 'fl': True, 'forward_avg_action_prob_eval': 0.0512746125459671, 'forward_avg_action_prob_test': 0.02000283735245466, 'forward_policy_entropy_eval': 3.5558075457811356, 'forward_policy_entropy_test': 3.79523096203804, 'grad_clip_norm': 2, 'learning_rate': 0.0001, 'loss': 0.3375767469406128, 'mbsize': 16, 'mean_R': 55679.413443846635, 'mean_top_1000_R': 389201.0438412156, 'mean_top_1000_diversity': 0.08355923508306018, 'mean_top_1000_similarity': 0.9164407649169398, 'mean_top_100_R': 483933.2989578556, 'mean_top_100_diversity': 0.06392524108732334, 'mean_top_100_similarity': 0.9360747589126768, 'mean_top_10_diversity': 0.09023585340844298, 'mean_top_10_similarity': 0.909764146591557, 'mean_top_50_diversity': 0.06675118616335862, 'mean_top_50_similarity': 0.9332488138366414, 'method': 'subtb_gfn', 'mode_threshold': 700000, 'model_seed': 0, 'modes': 0, 'n_eval_steps': 50, 'n_hid': 256, 'n_layers': 2, 'n_test_steps': 50, 'n_train_steps': 10000, 'num_cur_unique_R': 9, 'num_threads': 8, 'opt_alpha_interval': 1000, 'opt_alpha_steps': 100, 'pearson_corr_test': 0.5788106058386451, 'pearson_unscaled_test': 0.5788106058386451, 'qgfn_lr': 0.001, 'qgfn_n_step': 20, 'qgfn_p': 0.5, 'qgfn_reward_scale': 1, 'qgfn_scheduler': 'cosine', 'qgfn_scheduler_steps': 2000, 'qgfn_target_interval': 100, 'qgfn_tau': 0.95, 'qgfn_variant': 'p_greedy', 'rand_pb': 1, 'resume': True, 'reward_temp': 1, 'sampling_seed': 4, 'set_size': 80, 'size': 'large', 'spearman_corr_test': 0.5530726543910903, 'spearman_unscaled_test': 0.5530726543910903, 'step': 9999, 'steps_to_update_sampling_model': 10000, 'subtb_lambda': 0.99, 'tb_lr': 0.001, 'tb_z_lr': 0.1, 'teacher_beta': 1, 'teacher_lr': 0.001, 'teacher_offpolicy_steps': 2, 'teacher_reward_alpha': 0, 'teacher_reward_c': 19, 'teacher_student_steps': 2, 'teacher_use_log_reward': True, 'temp': 1, 'test_set_size': 1000, 'top_1000_count': 1000, 'top_100_count': 100, 'top_10_count': 10, 'top_50_count': 50, 'top_k': [10, 50, 100, 1000], 'training_mode': 'online', 'unique_samples': 125619, 'use_alpha_scheduler': True, 'use_exp_weight_decay': 1, 'use_external_sampling_model': False, 'use_grad_clip': False, 'use_modified_reward': False, 'use_replay_buffer': False, 'wdb': True}",{},ss(4)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.9)
9,"{'_runtime': 4217.320562107, '_step': 200, '_timestamp': 1768151092.84619, 'action_dim': 100, 'alpha': 0.49264436960220337, 'alpha_init': 0.1, 'alpha_logit': -0.029424620792269707, 'alpha_lr': 0.001, 'alpha_sched': 'hold_exp', 'alpha_train_first_steps': False, 'alpha_trainable': False, 'alpha_training_scheme': 'joint', 'alpha_warm_frac': 0.9, 'avg_cur_unique_R': 380.1526556131562, 'backward_avg_action_prob_eval': 0.06206849217414856, 'backward_avg_action_prob_test': 0.06206849217414856, 'backward_avg_policy_entropy_test': 3.4209141731262207, 'backward_policy_entropy_eval': 3.4209141731262207, 'bufsize': 16, 'ckpt_every': 100, 'ckpt_save_history': True, 'ckpt_save_test_set': False, 'clip_scale_avg_interval': 1, 'clip_trigger_rate_interval': 0, 'elbo_test': -48.26964530348778, 'elbo_unscaled_test': -48.26964530348778, 'enable_qgfn': False, 'eubo_test': -45.746228205502035, 'eubo_unscaled_test': -45.746228205502035, 'exp_weight': 0.05, 'exp_weight_final': 0.05, 'exp_weight_sched': 'linear', 'exp_weight_warm_frac': 0, 'fl': True, 'forward_avg_action_prob_eval': 0.023510631639510393, 'forward_avg_action_prob_test': 0.01981695693731308, 'forward_policy_entropy_eval': 3.956731826066971, 'forward_policy_entropy_test': 3.9624857695102698, 'grad_clip_norm': 2, 'learning_rate': 0.0001, 'loss': 0.6794296503067017, 'mbsize': 16, 'mean_R': 2123.3038701086653, 'mean_top_1000_R': 70844.1562453322, 'mean_top_1000_diversity': 0.19939434873308504, 'mean_top_1000_similarity': 0.800605651266915, 'mean_top_100_R': 159273.87273158735, 'mean_top_100_diversity': 0.1814409811319746, 'mean_top_100_similarity': 0.8185590188680254, 'mean_top_10_diversity': 0.1606591544435758, 'mean_top_10_similarity': 0.8393408455564242, 'mean_top_50_diversity': 0.17683676250680425, 'mean_top_50_similarity': 0.8231632374931958, 'method': 'subtb_gfn', 'mode_threshold': 700000, 'model_seed': 0, 'modes': 0, 'n_eval_steps': 50, 'n_hid': 256, 'n_layers': 2, 'n_test_steps': 50, 'n_train_steps': 10000, 'num_cur_unique_R': 16, 'num_threads': 8, 'opt_alpha_interval': 1000, 'opt_alpha_steps': 100, 'pearson_corr_test': 0.9279665224034942, 'pearson_unscaled_test': 0.9279665224034942, 'qgfn_lr': 0.001, 'qgfn_n_step': 20, 'qgfn_p': 0.5, 'qgfn_reward_scale': 1, 'qgfn_scheduler': 'cosine', 'qgfn_scheduler_steps': 2000, 'qgfn_target_interval': 100, 'qgfn_tau': 0.95, 'qgfn_variant': 'p_greedy', 'rand_pb': 1, 'resume': True, 'reward_temp': 1, 'sampling_seed': 0, 'set_size': 80, 'size': 'large', 'spearman_corr_test': 0.9188028390720644, 'spearman_unscaled_test': 0.9188028390720644, 'step': 9999, 'steps_to_update_sampling_model': 10000, 'subtb_lambda': 0.99, 'tb_lr': 0.001, 'tb_z_lr': 0.1, 'teacher_beta': 1, 'teacher_lr': 0.001, 'teacher_offpolicy_steps': 2, 'teacher_reward_alpha': 0, 'teacher_reward_c': 19, 'teacher_student_steps': 2, 'teacher_use_log_reward': True, 'temp': 1, 'test_set_size': 1000, 'top_1000_count': 1000, 'top_100_count': 100, 'top_10_count': 10, 'top_50_count': 50, 'top_k': [10, 50, 100, 1000], 'training_mode': 'online', 'unique_samples': 163200, 'use_alpha_scheduler': True, 'use_exp_weight_decay': 1, 'use_external_sampling_model': False, 'use_grad_clip': False, 'use_modified_reward': False, 'use_replay_buffer': False, 'wdb': True}",{},ss(0)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.1)
