method,size,alpha,modes_mean,modes_std,mean_top_1000_R_mean,mean_top_1000_R_std,mean_top_1000_similarity_mean,mean_top_1000_similarity_std,spearman_corr_test_mean,spearman_corr_test_std
db_gfn,large,0.5,0.0,0.0,58086.53540664063,5216.945176467453,0.7632136136117381,0.001973580996824038,0.984226286472507,0.003840113488095733
db_gfn,large,0.9,355.8,319.8401163081329,624721.7718625,55336.884563167565,0.8829444799811081,0.006608769930980359,0.9445149521109444,0.004376867133770443
db_gfn,medium,0.5,0.0,0.0,110427.3801921875,5337.251185679056,0.7102643646273231,0.001299632278427197,0.9928684966658128,0.004152088661267388
db_gfn,medium,0.9,31.4,34.0631765987848,552020.09113125,59210.23423680883,0.8034896821391918,0.009402756125763509,0.9726776333444989,0.005111517500529246
db_gfn,small,0.5,24.8,2.588435821108957,0.1844665496200323,0.0012191927797691343,0.694183113690378,0.0012723199720983656,0.9986060099978585,0.00036112840651950616
db_gfn,small,0.9,55.8,13.917614738165444,0.2043800051867962,0.006146176266598261,0.7208810241895899,0.007723312277144086,0.9952735863682074,0.0005185324267589475
fl_db_gfn,large,0.5,247.6,147.16759154107265,593090.2406125,67865.24176786706,0.8526686980331574,0.007941831469963087,0.9023042567659392,0.019388476407551355
fl_db_gfn,large,0.9,2239.2,169.7989988191921,768544.6010625,6904.368876756174,0.8747602442725773,0.0016563594405031151,0.8471800559070208,0.017983450911744435
fl_db_gfn,medium,0.5,14.2,10.059821071967434,507462.73498125,47471.44951084295,0.7822985250144237,0.0058428884334491525,0.9679817526163363,0.007726713822171247
fl_db_gfn,medium,0.9,118.6,45.878099350343625,638688.0967875,24711.413501558287,0.8057597348865866,0.005748593363065082,0.9349651253401445,0.012630779818780462
fl_db_gfn,small,0.5,83.0,2.449489742783178,0.21803791280686857,0.0005828101265576067,0.734215009359603,0.0007167550782137335,0.9919987436129254,0.002447907138057044
fl_db_gfn,small,0.9,88.6,2.1908902300206643,0.21995565728545188,0.002010936627553667,0.7371031396806809,0.0013797383630267642,0.9746676283437802,0.0065907262455677075
fl_subtb_gfn,large,0.5,118.6,84.8133244248803,542496.7441306754,54447.87508581981,0.8479556772620847,0.006495451903337803,0.9008822388238091,0.029231610949421623
fl_subtb_gfn,large,0.6,394.4,253.59081213640215,635916.5150185677,57064.74991462745,0.8645171233977942,0.005417920381536065,0.8733479352517268,0.03146965515036611
fl_subtb_gfn,medium,0.5,16.0,8.602325267042627,531806.1657169855,14738.447097982487,0.7844598095431834,0.0022654910317815294,0.9723053306070353,0.005821709238644505
fl_subtb_gfn,medium,0.6,32.6,8.414273587185052,574079.2808945928,20232.02268438683,0.794766252220612,0.008208806707439807,0.9666100547558788,0.012918247236371777
fl_subtb_gfn,small,0.5,89.6,0.8944271909999159,0.22115283660366392,0.00026835924449092536,0.7379225193011723,0.00034086158279121506,0.9965851992817957,0.0009475873805664309
fl_subtb_gfn,small,0.6,90.0,0.0,0.22134693241119385,6.659217227365903e-05,0.738192225529118,9.658085872808739e-05,0.9907505117855923,0.00241897984876273
subtb_gfn,large,0.5,0.0,0.0,53579.35518484357,27673.865226881404,0.7903538116890931,0.017526482794904843,0.9436808532742686,0.008025754856605893
subtb_gfn,large,0.8,2.0,4.47213595499958,159144.7326092174,87726.56243759464,0.8721590114752258,0.016762502819841846,0.9163224582650511,0.016924459756307842
subtb_gfn,medium,0.5,0.0,0.0,160688.92654259191,40230.65457390212,0.7325418871753528,0.008181058652124621,0.967823315549411,0.006929823613776184
subtb_gfn,medium,0.9,5.2,6.760177512462229,434821.48153221485,78120.94670009775,0.837825603272967,0.009911263854892398,0.9558134300089496,0.013033862640211355
subtb_gfn,small,0.5,20.0,4.06201920231798,0.17857278962802986,0.0019084801009101485,0.6878567237550739,0.0018895792871895564,0.9917761439563385,0.004937341461580571
subtb_gfn,small,0.8,34.2,8.07465169527454,0.19133725809610744,0.0055525533932784515,0.7034315569020215,0.0076012017706087835,0.9967588604741296,0.000989356590480333
tb_gfn,large,0.5,0.0,0.0,11754.280200097655,230.90873428313353,0.7364430683737282,0.0003220101224845503,0.9958545568327498,0.0004493887246185698
tb_gfn,large,0.7,591.6,210.56186739293514,683702.4598875002,32706.82228068918,0.868523290521852,0.006927376319215567,0.9961338625080567,0.0007567105498402916
tb_gfn,medium,0.5,0.0,0.0,44854.405848046874,1480.9670458698738,0.6910623217465386,0.000837377078224258,0.9979225123170142,0.0004594331775023816
tb_gfn,medium,0.8,499.0,427.07142259814106,703904.3621,39194.70286546343,0.8577053213358944,0.011781387093244933,0.8616765818565602,0.30048609269408827
tb_gfn,small,0.5,23.2,2.3874672772626644,0.17990509199798108,0.0013193122083346852,0.6892375679407703,0.0013231823045380697,0.9994770945998768,0.0001786781436859597
tb_gfn,small,0.7,24.8,3.271085446759225,0.18403512225747107,0.0016637230501625698,0.6936669849235468,0.001707801541986522,0.9993320024335546,0.0003882307397833673
