method,size,alpha,modes_mean,modes_std,mean_top_1000_R_mean,mean_top_1000_R_std,mean_top_1000_similarity_mean,mean_top_1000_similarity_std,spearman_corr_test_mean,spearman_corr_test_std
db_gfn,large,0.9,355.8,319.8401163081329,624721.7718625,55336.884563167565,0.8829444799811081,0.006608769930980359,0.9445149521109444,0.004376867133770443
db_gfn,medium,0.9,31.4,34.0631765987848,552020.09113125,59210.23423680883,0.8034896821391918,0.009402756125763509,0.9726776333444989,0.005111517500529246
db_gfn,small,0.9,55.8,13.917614738165444,0.2043800051867962,0.006146176266598261,0.7208810241895899,0.007723312277144086,0.9952735863682074,0.0005185324267589475
fl_db_gfn,large,0.9,2239.2,169.7989988191921,768544.6010625,6904.368876756174,0.8747602442725773,0.0016563594405031151,0.8471800559070208,0.017983450911744435
fl_db_gfn,medium,0.9,118.6,45.878099350343625,638688.0967875,24711.413501558287,0.8057597348865866,0.005748593363065082,0.9349651253401445,0.012630779818780462
fl_db_gfn,small,0.9,88.6,2.1908902300206643,0.21995565728545188,0.002010936627553667,0.7371031396806809,0.0013797383630267642,0.9746676283437802,0.0065907262455677075
fl_subtb_gfn,large,0.8,3809.4,1893.070468841559,819447.4033923341,61927.154859074864,0.8862862955458887,0.010555954730926952,0.9687865196485694,0.004371224387989701
fl_subtb_gfn,medium,0.8,258.6,296.3212783449747,655796.0508125054,68334.68959847165,0.8715783651599944,0.008507512364810904,0.7754044777928936,0.031217235778629747
fl_subtb_gfn,small,0.6,90.0,0.0,0.22134693241119385,6.659217227365903e-05,0.738192225529118,9.658085872808739e-05,0.9907505117855923,0.00241897984876273
subtb_gfn,large,0.8,2.0,4.47213595499958,159144.7326092174,87726.56243759464,0.8721590114752258,0.016762502819841846,0.9163224582650511,0.016924459756307842
subtb_gfn,medium,0.9,5.2,6.760177512462229,434821.48153221485,78120.94670009775,0.837825603272967,0.009911263854892398,0.9558134300089496,0.013033862640211355
subtb_gfn,small,0.8,34.2,8.07465169527454,0.19133725809610744,0.0055525533932784515,0.7034315569020215,0.0076012017706087835,0.9967588604741296,0.000989356590480333
tb_gfn,large,0.7,591.6,210.56186739293514,683702.4598875002,32706.82228068918,0.868523290521852,0.006927376319215567,0.9961338625080567,0.0007567105498402916
tb_gfn,medium,0.8,499.0,427.07142259814106,703904.3621,39194.70286546343,0.8577053213358944,0.011781387093244933,0.8616765818565602,0.30048609269408827
tb_gfn,small,0.7,24.8,3.271085446759225,0.18403512225747107,0.0016637230501625698,0.6936669849235468,0.001707801541986522,0.9993320024335546,0.0003882307397833673
