method,size,metric,best_alpha,best_value
db_gfn,large,modes,0.9,355.8
db_gfn,large,mean_top_1000_R,0.9,624721.7718625
db_gfn,large,mean_top_1000_similarity,0.9,0.882944479981108
db_gfn,large,spearman_corr_test,0.9,0.9445149521109444
db_gfn,medium,modes,0.9,31.4
db_gfn,medium,mean_top_1000_R,0.9,552020.09113125
db_gfn,medium,mean_top_1000_similarity,0.9,0.8034896821391918
db_gfn,medium,spearman_corr_test,0.9,0.9726776333444989
db_gfn,small,modes,0.9,55.8
db_gfn,small,mean_top_1000_R,0.9,0.2043800051867962
db_gfn,small,mean_top_1000_similarity,0.9,0.7208810241895898
db_gfn,small,spearman_corr_test,0.9,0.9952735863682072
fl_db_gfn,large,modes,0.9,2239.2
fl_db_gfn,large,mean_top_1000_R,0.9,768544.6010625
fl_db_gfn,large,mean_top_1000_similarity,0.9,0.8747602442725773
fl_db_gfn,large,spearman_corr_test,0.9,0.8471800559070207
fl_db_gfn,medium,modes,0.9,118.6
fl_db_gfn,medium,mean_top_1000_R,0.9,638688.0967875
fl_db_gfn,medium,mean_top_1000_similarity,0.9,0.8057597348865866
fl_db_gfn,medium,spearman_corr_test,0.9,0.9349651253401448
fl_db_gfn,small,modes,0.9,88.6
fl_db_gfn,small,mean_top_1000_R,0.9,0.21995565728545188
fl_db_gfn,small,mean_top_1000_similarity,0.9,0.7371031396806809
fl_db_gfn,small,spearman_corr_test,0.9,0.9746676283437802
fl_subtb_gfn,large,modes,0.7,954.6
fl_subtb_gfn,large,mean_top_1000_R,0.7,637434.3037370872
fl_subtb_gfn,large,mean_top_1000_similarity,0.8,0.9108390182167799
fl_subtb_gfn,large,spearman_corr_test,0.2,0.9473860808974438
fl_subtb_gfn,medium,modes,0.8,258.6
fl_subtb_gfn,medium,mean_top_1000_R,0.8,655796.0508125054
fl_subtb_gfn,medium,mean_top_1000_similarity,0.8,0.8715783651599945
fl_subtb_gfn,medium,spearman_corr_test,0.4,0.9882014723537715
fl_subtb_gfn,small,modes,0.6,90.0
fl_subtb_gfn,small,mean_top_1000_R,0.6,0.22134693241119385
fl_subtb_gfn,small,mean_top_1000_similarity,0.6,0.738192225529118
fl_subtb_gfn,small,spearman_corr_test,0.4,0.9957103346739903
subtb_gfn,large,modes,0.8,2.0
subtb_gfn,large,mean_top_1000_R,0.9,169377.54664061792
subtb_gfn,large,mean_top_1000_similarity,0.9,0.9034390722937979
subtb_gfn,large,spearman_corr_test,0.1,0.9290853416027612
subtb_gfn,medium,modes,0.9,5.2
subtb_gfn,medium,mean_top_1000_R,0.9,434821.48153221485
subtb_gfn,medium,mean_top_1000_similarity,0.9,0.837825603272967
subtb_gfn,medium,spearman_corr_test,0.2,0.979274418514288
subtb_gfn,small,modes,0.8,34.2
subtb_gfn,small,mean_top_1000_R,0.8,0.19133725809610747
subtb_gfn,small,mean_top_1000_similarity,0.8,0.7034315569020215
subtb_gfn,small,spearman_corr_test,0.7,0.9971323339059855
tb_gfn,large,modes,0.7,591.6
tb_gfn,large,mean_top_1000_R,0.7,683702.4598875
tb_gfn,large,mean_top_1000_similarity,0.7,0.868523290521852
tb_gfn,large,spearman_corr_test,0.7,0.9961338625080567
tb_gfn,medium,modes,0.8,499.0
tb_gfn,medium,mean_top_1000_R,0.8,703904.3621
tb_gfn,medium,mean_top_1000_similarity,0.8,0.8577053213358944
tb_gfn,medium,spearman_corr_test,0.8,0.8616765818565602
tb_gfn,small,modes,0.7,24.8
tb_gfn,small,mean_top_1000_R,0.7,0.1840351222574711
tb_gfn,small,mean_top_1000_similarity,0.7,0.6936669849235468
tb_gfn,small,spearman_corr_test,0.7,0.9993320024335546
