,summary,config,name
0,"{'_runtime': 39101.606409823, '_step': 38500, '_timestamp': 1763511584.2534285, 'alpha': 0.800000011920929, 'avg_current_reward_eval': 6.417386985320543e-35, 'backward_avg_action_prob_eval': 0.13316623769734637, 'backward_avg_action_prob_test': 0.13316623769734634, 'backward_policy_entropy_eval': 2.4886078782944723, 'backward_policy_entropy_test': 2.488607878294472, 'clip_scale_avg_interval': 1, 'clip_trigger_rate_interval': 0, 'elbo': 83.0032958984375, 'elbo_unscaled': 126.7532958984375, 'eubo': 99.75932867685954, 'eubo_unscaled': 137.10849534352622, 'eval_interval_sec': 685.0704529285431, 'forward_avg_action_prob_eval': 0.016098561960582933, 'forward_avg_action_prob_test': 0.012934676316430948, 'forward_policy_entropy_eval': 4.794412310918172, 'forward_policy_entropy_test': 5.005465991119544, 'log_Z': 0, 'loss': 1.5277327299118042, 'mean_R_all_unique': 1.5367499258317413e-25, 'mean_top_1000_R': 9.4666112473907e-23, 'mean_top_1000_diversity': 0.4961865031698365, 'mean_top_1000_similarity': 0.5038134968301635, 'mean_top_100_R': 9.464629858323829e-22, 'mean_top_100_diversity': 0.49716666666666665, 'mean_top_100_similarity': 0.5028333333333334, 'modes': 59, 'pearson_corr_test': 0.5935019242614742, 'pearson_corr_test_unscaled': 0.5935019242614742, 'rand_action_prob': 0.001, 'spearman_corr_test': 0.5638257156648907, 'spearman_corr_test_unscaled': 0.5638257156648907, 'step': 38500, 'top_1000_count': 1000, 'top_100_count': 100, 'unique_samples_eval': 616016}",{},k(4)_ms(0)_ss(0)_m(db)_a(0.8)
1,"{'M_size': 60, '_current_q_mix_p': 0, '_last_q_mix': 0, '_mode_tokens': {'_type': 'histogram'}, '_q_step': 0, '_runtime': 48660.496136737, '_sentinel': 64, '_step': 49999, '_test_tokens': {'_type': 'histogram'}, '_timestamp': 1763521143.6640382, 'alpha': 0.4963354170322418, 'alpha_init': 0.3, 'alpha_sched': 'hold_exp', 'alpha_warm_frac': 0.8, 'avg_current_reward_eval': 1.1284985221775544e-36, 'backward_avg_action_prob_eval': 0.1798869828571841, 'backward_avg_action_prob_test': 0.17988698285718407, 'backward_policy_entropy_eval': 2.1167808230378538, 'backward_policy_entropy_test': 2.116780823037854, 'batch_size': 16, 'clip_scale_avg_interval': 0.9977910563655144, 'clip_trigger_rate_interval': 0.006012024048096192, 'corr_num_rounds': 10, 'dropout': 0.1, 'elbo': 32.67142868041992, 'elbo_unscaled': 79.60892486572266, 'enable_qgfn': False, 'entropy_coeff': 1, 'eubo': 50.75841047392951, 'eubo_unscaled': 88.10757714059618, 'eval_every': 500, 'eval_interval_sec': 705.5153806209564, 'exp_weight_sched': 'linear', 'exp_weight_warm_frac': 0, 'fl': True, 'forward_avg_action_prob_eval': 0.0043517005105968565, 'forward_avg_action_prob_test': 0.004184918593295151, 'forward_policy_entropy_eval': 5.772770035266876, 'forward_policy_entropy_test': 6.121819020569324, 'grad_clip_norm': 20, 'k': 6, 'learning_rate': 0.002, 'log_Z': 0, 'loss': 2.0181307792663574, 'mean_R_all_unique': 8.112923293715793e-28, 'mean_top_1000_R': 6.490330919110779e-25, 'mean_top_1000_diversity': 0.49360016683350016, 'mean_top_1000_similarity': 0.5063998331664998, 'mean_top_100_R': 6.4900127299817805e-24, 'mean_top_100_diversity': 0.49251178451178457, 'mean_top_100_similarity': 0.5074882154882154, 'mode_threshold': 30, 'model_seed': 0, 'modes': 31, 'n': 120, 'n_test_steps': 1000, 'num_iterations': 50000, 'objective': 'db', 'pearson_corr_test': 0.6039071203568278, 'pearson_corr_test_unscaled': 0.6039071203568278, 'qgfn_lr': 0.001, 'qgfn_n_step': 120, 'qgfn_p': 0.4, 'qgfn_scheduler': 'step', 'qgfn_scheduler_steps': 500, 'qgfn_target_interval': 100, 'qgfn_tau': 0.95, 'qgfn_variant': 'p_greedy', 'rand_action_prob': 0.001, 'rand_action_prob_final': 0.001, 'reward_exponent': 2, 'sampling_seed': 0, 'spearman_corr_test': 0.5496094918938363, 'spearman_corr_test_unscaled': 0.5496094918938363, 'step': 49999, 'steps_to_update_sampling_model': 1, 'subtb_lambda': 1.9, 'top_1000_count': 1000, 'top_100_count': 100, 'top_k': [100, 1000], 'unique_samples_eval': 800000, 'use_alpha_scheduler': True, 'use_exp_weight_decay': False, 'z_learning_rate': 0.001}",{},k(6)_ms(0)_ss(0)_m(db)_a(0.3)
2,"{'_runtime': 446.670331516, '_step': 1000, '_timestamp': 1763692247.8609152, 'alpha': 0.6000000238418579, 'avg_current_reward_eval': 2.1184207156865733e-18, 'avg_current_reward_eval_scaled': 6.17650764464479e-35, 'backward_avg_action_prob_eval': 0.22121526621526624, 'backward_avg_action_prob_test': 0.22121526621526624, 'backward_policy_entropy_eval': 1.859951425589614, 'backward_policy_entropy_test': 1.859951425589614, 'clip_scale_avg_interval': 0.999431715923364, 'clip_trigger_rate_interval': 0.002, 'elbo': 33.47052764892578, 'elbo_unscaled': 79.72052001953125, 'eubo': 49.473287978702125, 'eubo_unscaled': 86.8224546453688, 'eval_interval_sec': 219.17149257659912, 'forward_avg_action_prob_eval': 0.0017880273090365032, 'forward_avg_action_prob_test': 0.0016758797577155443, 'forward_policy_entropy_eval': 6.687904421488444, 'forward_policy_entropy_test': 7.223523900588353, 'log_Z': 0, 'loss': 1.828628420829773, 'mean_R_all_unique': 1.1927642916602297e-17, 'mean_top_1000_R': 1.900773933154949e-16, 'mean_top_1000_diversity': 0.49481906906906903, 'mean_top_1000_similarity': 0.505180930930931, 'mean_top_100_R': 1.8083828850246167e-15, 'mean_top_100_diversity': 0.4924393939393939, 'mean_top_100_similarity': 0.507560606060606, 'modes': 1, 'pearson_corr_test': 0.7030648078478934, 'pearson_corr_test_unscaled': 0.7030648078478934, 'rand_action_prob': 0.001, 'spearman_corr_test': 0.5992909101202347, 'spearman_corr_test_unscaled': 0.5992909101202347, 'step': 1000, 'top_1000_count': 1000, 'top_100_count': 100, 'unique_samples_eval': 16016}",{},k(8)_ms(0)_ss(1)_m(db)_a(0.6)
3,"{'_runtime': 1876.730857523, '_step': 2000, '_timestamp': 1763570910.2456057, 'alpha': 0.800000011920929, 'avg_current_reward_eval': 2.922849179552125e-16, 'avg_current_reward_eval_scaled': 1.3565859323743736e-30, 'backward_avg_action_prob_eval': 0.13316623769734637, 'backward_avg_action_prob_test': 0.13316623769734634, 'backward_policy_entropy_eval': 2.4886078782944723, 'backward_policy_entropy_test': 2.488607878294472, 'clip_scale_avg_interval': 1, 'clip_trigger_rate_interval': 0, 'elbo': 83.92810821533203, 'elbo_unscaled': 127.8656005859375, 'eubo': 100.1389138645596, 'eubo_unscaled': 137.48808053122627, 'eval_interval_sec': 493.3725340366363, 'forward_avg_action_prob_eval': 0.01550582426910599, 'forward_avg_action_prob_test': 0.012583610602945557, 'forward_policy_entropy_eval': 4.849663257598877, 'forward_policy_entropy_test': 5.042434366822243, 'log_Z': 0, 'loss': 1.757803440093994, 'mean_R_all_unique': 5.77852131195592e-16, 'mean_top_1000_R': 1.8459508781617873e-14, 'mean_top_1000_diversity': 0.49720700700700704, 'mean_top_1000_similarity': 0.502792992992993, 'mean_top_100_R': 1.813690000987104e-13, 'mean_top_100_diversity': 0.4957542087542087, 'mean_top_100_similarity': 0.5042457912457913, 'modes': 10, 'pearson_corr_test': 0.5954902531815476, 'pearson_corr_test_unscaled': 0.5954902531815476, 'rand_action_prob': 0.001, 'spearman_corr_test': 0.5634845263254842, 'spearman_corr_test_unscaled': 0.5634845263254842, 'step': 2000, 'top_1000_count': 1000, 'top_100_count': 100, 'unique_samples_eval': 32016}",{},k(4)_ms(0)_ss(0)_m(db)_a(0.8)
4,"{'M_size': 60, '_current_q_mix_p': 0, '_last_q_mix': 0, '_mode_tokens': {'_type': 'histogram'}, '_q_step': 0, '_runtime': 82457.852598057, '_sentinel': 16, '_step': 49999, '_test_tokens': {'_type': 'histogram'}, '_timestamp': 1763775754.6688144, 'alpha': 0.4963354170322418, 'alpha_init': 0.3, 'alpha_sched': 'hold_exp', 'alpha_warm_frac': 0.8, 'avg_current_reward_eval': 1.1053404090798275e-16, 'avg_current_reward_eval_scaled': 1.8366500904973672e-31, 'backward_avg_action_prob_eval': 0.13316623769734637, 'backward_avg_action_prob_test': 0.13316623769734634, 'backward_policy_entropy_eval': 2.4886078782944723, 'backward_policy_entropy_test': 2.488607878294472, 'batch_size': 16, 'clip_scale_avg_interval': 0.13397045577226507, 'clip_trigger_rate_interval': 1, 'corr_num_rounds': 10, 'dropout': 0.1, 'elbo': 36.9000244140625, 'elbo_unscaled': 79.0875244140625, 'enable_qgfn': False, 'entropy_coeff': 1, 'eubo': 58.54107517454359, 'eubo_unscaled': 95.89024184121024, 'eval_every': 500, 'eval_interval_sec': 898.1995408535004, 'exp_weight_sched': 'linear', 'exp_weight_warm_frac': 0, 'fl': True, 'forward_avg_action_prob_eval': 0.0232366734649986, 'forward_avg_action_prob_test': 0.01406010220690708, 'forward_policy_entropy_eval': 4.591443641980489, 'forward_policy_entropy_test': 4.7869207700689635, 'grad_clip_norm': 20, 'k': 4, 'learning_rate': 0.002, 'log_Z': 0, 'loss': 24.74600601196289, 'mean_R_all_unique': 3.3011408327898203e-14, 'mean_top_1000_R': 2.6083225827818953e-11, 'mean_top_1000_diversity': 0.47792904571237904, 'mean_top_1000_similarity': 0.522070954287621, 'mean_top_100_R': 2.473639159524459e-10, 'mean_top_100_diversity': 0.4752659932659933, 'mean_top_100_similarity': 0.5247340067340067, 'mode_threshold': 30, 'model_seed': 0, 'modes': 60, 'n': 120, 'n_test_steps': 1000, 'num_iterations': 50000, 'objective': 'subtb', 'pearson_corr_test': 0.6289735188973706, 'pearson_corr_test_unscaled': 0.6289735188973706, 'qgfn_lr': 0.001, 'qgfn_n_step': 120, 'qgfn_p': 0.4, 'qgfn_scheduler': 'step', 'qgfn_scheduler_steps': 500, 'qgfn_target_interval': 100, 'qgfn_tau': 0.95, 'qgfn_variant': 'p_greedy', 'rand_action_prob': 0.001, 'rand_action_prob_final': 0.001, 'reward_exponent': 2, 'sampling_seed': 1, 'spearman_corr_test': 0.5961910053665271, 'spearman_corr_test_unscaled': 0.5961910053665271, 'step': 49999, 'steps_to_update_sampling_model': 1, 'subtb_lambda': 1.9, 'top_1000_count': 1000, 'top_100_count': 100, 'top_k': [100, 1000], 'unique_samples_eval': 800000, 'use_alpha_scheduler': True, 'use_exp_weight_decay': False, 'z_learning_rate': 0.001}",{},k(4)_ms(0)_ss(1)_m(subtb)_a(0.3)
5,"{'_runtime': 400.398904569, '_step': 1500, '_timestamp': 1763464971.9999206, 'alpha': 0.699999988079071, 'avg_current_reward_eval': 1.559476698666171e-37, 'backward_avg_action_prob_eval': 0.25860088985088986, 'backward_avg_action_prob_test': 0.25860088985088986, 'backward_policy_entropy_eval': 1.6656012079720826, 'backward_policy_entropy_test': 1.6656012079720823, 'clip_scale_avg_interval': 0.999137343958698, 'clip_trigger_rate_interval': 0.004, 'elbo': 34.20048522949219, 'elbo_unscaled': 81.63798522949219, 'eubo': 53.76057392968072, 'eubo_unscaled': 91.10974059634738, 'eval_interval_sec': 120.82567286491394, 'forward_avg_action_prob_eval': 0.0002966568111636055, 'forward_avg_action_prob_test': 0.0003978962245597965, 'forward_policy_entropy_eval': 7.725566546122233, 'forward_policy_entropy_test': 8.476169384121896, 'log_Z': 0, 'loss': 3.025099754333496, 'mean_R_all_unique': 3.714619929036711e-31, 'mean_top_1000_R': 8.919916657705773e-30, 'mean_top_1000_diversity': 0.4975474641307974, 'mean_top_1000_similarity': 0.5024525358692026, 'mean_top_100_R': 8.91989244235826e-29, 'mean_top_100_diversity': 0.4954393939393939, 'mean_top_100_similarity': 0.504560606060606, 'modes': 1, 'pearson_corr_test': 0.5643200633359635, 'pearson_corr_test_unscaled': 0.5643200633359635, 'rand_action_prob': 0.001, 'spearman_corr_test': 0.4629563821209232, 'spearman_corr_test_unscaled': 0.4629563821209232, 'step': 1500, 'top_1000_count': 1000, 'top_100_count': 100, 'unique_samples_eval': 24013}",{},k(10)_ms(0)_ss(1)_m(db)_a(0.7)
6,"{'_runtime': 732.487518262, '_step': 500, '_timestamp': 1763648740.730422, 'alpha': 0.4000000059604645, 'avg_current_reward_eval': 1.1859404247458517e-18, 'avg_current_reward_eval_scaled': 9.660817971867388e-36, 'backward_avg_action_prob_eval': 0.13316623769734637, 'backward_avg_action_prob_test': 0.13316623769734634, 'backward_policy_entropy_eval': 2.4886078782944723, 'backward_policy_entropy_test': 2.488607878294472, 'clip_scale_avg_interval': 0.050739535416357125, 'clip_trigger_rate_interval': 1, 'elbo': 31.703041076660156, 'elbo_unscaled': 76.01553344726562, 'eubo': 13.85237458255556, 'eubo_unscaled': 51.201541249222224, 'eval_interval_sec': 676.3286221027374, 'forward_avg_action_prob_eval': 0.01975551776122302, 'forward_avg_action_prob_test': 0.008371495955740101, 'forward_policy_entropy_eval': 4.67224862575531, 'forward_policy_entropy_test': 5.015593377312024, 'log_Z': 0, 'loss': 40.88346481323242, 'mean_R_all_unique': 1.0270735407086488e-16, 'mean_top_1000_R': 8.211474964385987e-16, 'mean_top_1000_diversity': 0.49854798131464795, 'mean_top_1000_similarity': 0.501452018685352, 'mean_top_100_R': 7.576466218022628e-15, 'mean_top_100_diversity': 0.4975858585858586, 'mean_top_100_similarity': 0.5024141414141414, 'modes': 2, 'pearson_corr_test': 0.10400876881288192, 'pearson_corr_test_unscaled': 0.10400876881288192, 'rand_action_prob': 0.001, 'spearman_corr_test': 0.1100420315116292, 'spearman_corr_test_unscaled': 0.1100420315116292, 'step': 500, 'top_1000_count': 1000, 'top_100_count': 100, 'unique_samples_eval': 8016}",{},k(4)_ms(0)_ss(4)_m(subtb)_a(0.4)
7,"{'_runtime': 48630.352548628, '_step': 41000, '_timestamp': 1763639212.0204663, 'alpha': 0.7010959982872009, 'avg_current_reward_eval': 1.6999872669235617e-18, 'avg_current_reward_eval_scaled': 1.6906365264638862e-35, 'backward_avg_action_prob_eval': 0.13316623769734637, 'backward_avg_action_prob_test': 0.13316623769734634, 'backward_policy_entropy_eval': 2.4886078782944723, 'backward_policy_entropy_test': 2.488607878294472, 'clip_scale_avg_interval': 1, 'clip_trigger_rate_interval': 0, 'elbo': 68.3656005859375, 'elbo_unscaled': 112.1156005859375, 'eubo': 85.59656859821743, 'eubo_unscaled': 122.9457352648841, 'eval_interval_sec': 841.3681135177612, 'forward_avg_action_prob_eval': 0.015538154123350975, 'forward_avg_action_prob_test': 0.012938359597406817, 'forward_policy_entropy_eval': 4.81663962205251, 'forward_policy_entropy_test': 5.0066621052026745, 'log_Z': 0, 'loss': 1.2702730894088743, 'mean_R_all_unique': 9.51534472294977e-16, 'mean_top_1000_R': 5.998612418657629e-13, 'mean_top_1000_diversity': 0.49631651651651654, 'mean_top_1000_similarity': 0.5036834834834835, 'mean_top_100_R': 5.3522697700394056e-12, 'mean_top_100_diversity': 0.4952525252525253, 'mean_top_100_similarity': 0.5047474747474747, 'modes': 57, 'pearson_corr_test': 0.5929197959339514, 'pearson_corr_test_unscaled': 0.5929197959339514, 'rand_action_prob': 0.001, 'spearman_corr_test': 0.5635756723762477, 'spearman_corr_test_unscaled': 0.5635756723762477, 'step': 41000, 'top_1000_count': 1000, 'top_100_count': 100, 'unique_samples_eval': 656016}",{},k(4)_ms(0)_ss(4)_m(db)_a(0.8)
8,"{'M_size': 60, '_current_q_mix_p': 0, '_last_q_mix': 0, '_mode_tokens': {'_type': 'histogram'}, '_q_step': 0, '_runtime': 48119.738317299, '_sentinel': 256, '_step': 49999, '_test_tokens': {'_type': 'histogram'}, '_timestamp': 1763631675.378806, 'alpha': 0.5, 'alpha_init': 0.5, 'alpha_sched': 'hold_exp', 'alpha_warm_frac': 0.8, 'avg_current_reward_eval': 1.0847041056812015e-16, 'avg_current_reward_eval_scaled': 1.836024845052165e-31, 'backward_avg_action_prob_eval': 0.22121526621526624, 'backward_avg_action_prob_test': 0.22121526621526624, 'backward_policy_entropy_eval': 1.859951425589614, 'backward_policy_entropy_test': 1.859951425589614, 'batch_size': 16, 'clip_scale_avg_interval': 1, 'clip_trigger_rate_interval': 0, 'corr_num_rounds': 10, 'dropout': 0.1, 'elbo': 25.142181396484375, 'elbo_unscaled': 67.64218139648438, 'enable_qgfn': False, 'entropy_coeff': 1, 'eubo': 40.27922982109918, 'eubo_unscaled': 77.62839648776584, 'eval_every': 500, 'eval_interval_sec': 714.8607819080353, 'exp_weight_sched': 'linear', 'exp_weight_warm_frac': 0, 'fl': True, 'forward_avg_action_prob_eval': 0.003389791368196408, 'forward_avg_action_prob_test': 0.002452939031063579, 'forward_policy_entropy_eval': 6.387686443328858, 'forward_policy_entropy_test': 6.890664362271627, 'grad_clip_norm': 20, 'k': 8, 'learning_rate': 0.002, 'log_Z': 0, 'loss': 2.803751230239868, 'mean_R_all_unique': 1.3581138227423986e-15, 'mean_top_1000_R': 1.0274085608426717e-12, 'mean_top_1000_diversity': 0.4710748581915248, 'mean_top_1000_similarity': 0.5289251418084752, 'mean_top_100_R': 8.696250211228738e-12, 'mean_top_100_diversity': 0.466010101010101, 'mean_top_100_similarity': 0.533989898989899, 'mode_threshold': 30, 'model_seed': 0, 'modes': 60, 'n': 120, 'n_test_steps': 1000, 'num_iterations': 50000, 'objective': 'db', 'pearson_corr_test': 0.7920388037396419, 'pearson_corr_test_unscaled': 0.7920388037396419, 'qgfn_lr': 0.001, 'qgfn_n_step': 120, 'qgfn_p': 0.4, 'qgfn_scheduler': 'step', 'qgfn_scheduler_steps': 500, 'qgfn_target_interval': 100, 'qgfn_tau': 0.95, 'qgfn_variant': 'p_greedy', 'rand_action_prob': 0.001, 'rand_action_prob_final': 0.001, 'reward_exponent': 2, 'sampling_seed': 0, 'spearman_corr_test': 0.7363774658407466, 'spearman_corr_test_unscaled': 0.7363774658407466, 'step': 49999, 'steps_to_update_sampling_model': 1, 'subtb_lambda': 1.9, 'top_1000_count': 1000, 'top_100_count': 100, 'top_k': [100, 1000], 'unique_samples_eval': 800000, 'use_alpha_scheduler': True, 'use_exp_weight_decay': False, 'z_learning_rate': 0.001}",{},k(8)_ms(0)_ss(0)_m(db)_a(0.5)
9,"{'_runtime': 463.382175534, '_step': 500, '_timestamp': 1763573753.381823, 'alpha': 0.20000000298023224, 'avg_current_reward_eval': 1.773437513877759e-17, 'avg_current_reward_eval_scaled': 3.434018299489197e-33, 'backward_avg_action_prob_eval': 0.13316623769734637, 'backward_avg_action_prob_test': 0.13316623769734634, 'backward_policy_entropy_eval': 2.4886078782944723, 'backward_policy_entropy_test': 2.488607878294472, 'clip_scale_avg_interval': 0.05027346772785807, 'clip_trigger_rate_interval': 1, 'elbo': -3.0394296646118164, 'elbo_unscaled': 40.2105712890625, 'eubo': 12.207773789895905, 'eubo_unscaled': 49.55694045656257, 'eval_interval_sec': 408.37554001808167, 'forward_avg_action_prob_eval': 0.02394973624808093, 'forward_avg_action_prob_test': 0.00865290693420684, 'forward_policy_entropy_eval': 4.521285279591878, 'forward_policy_entropy_test': 4.998261724034945, 'log_Z': 0, 'loss': 43.810890197753906, 'mean_R_all_unique': 5.2254645293881306e-15, 'mean_top_1000_R': 4.1885140878912776e-14, 'mean_top_1000_diversity': 0.49756668335001664, 'mean_top_1000_similarity': 0.5024333166499834, 'mean_top_100_R': 4.1833663096486315e-13, 'mean_top_100_diversity': 0.4963888888888889, 'mean_top_100_similarity': 0.5036111111111111, 'modes': 9, 'pearson_corr_test': 0.21450617141623013, 'pearson_corr_test_unscaled': 0.21450617141623013, 'rand_action_prob': 0.001, 'spearman_corr_test': 0.2486706198423776, 'spearman_corr_test_unscaled': 0.2486706198423776, 'step': 500, 'top_1000_count': 1000, 'top_100_count': 100, 'unique_samples_eval': 8016}",{},k(4)_ms(0)_ss(3)_m(subtb)_a(0.2)
