method,k,alpha,modes,spearman_corr_test
db,10,0.5,6.8,0.5689423688335364
db,10,0.6,8.2,0.5706857219971117
db,2,0.5,0.6,0.31818402493509546
db,2,0.9,2.6,0.5002684754126567
db,4,0.5,9.8,0.5760580824259856
db,4,0.6,13.0,0.5752579054234543
db,6,0.5,4.2,0.5533219030996094
db,6,0.8,5.2,0.5580407563797346
db,8,0.5,36.4,0.7931465926155801
db,8,0.9,44.4,0.7932996386758288
fl-db,10,0.2,23.4,0.5672389382867495
fl-db,10,0.5,20.8,0.5669542957956739
fl-db,2,0.1,60.0,0.6236580217253802
fl-db,2,0.5,60.0,0.6327793631082601
fl-db,4,0.5,57.6,0.5656816918120399
fl-db,4,0.8,59.2,0.5643131061346829
fl-db,6,0.1,32.0,0.5459783471707571
fl-db,6,0.5,31.4,0.5461537870096562
fl-db,8,0.2,60.0,0.728858636504296
fl-db,8,0.5,59.8,0.7274276111668431
fl-subtb,10,0.4,37.4,0.5693915481101188
fl-subtb,10,0.5,35.2,0.5698230811548574
fl-subtb,2,0.2,59.8,0.5450198976916226
fl-subtb,2,0.5,55.4,0.47586467486630435
fl-subtb,4,0.5,58.8,0.5722781716290113
fl-subtb,4,0.6,59.4,0.5802556155639282
fl-subtb,6,0.5,48.2,0.5550266961493311
fl-subtb,6,0.8,47.8,0.5554508107603394
fl-subtb,8,0.1,60.0,0.7646686984029195
fl-subtb,8,0.5,60.0,0.7638446081159009
subtb,10,0.2,21.6,0.5660797359276104
subtb,10,0.5,19.2,0.566320955459521
subtb,2,0.1,20.8,0.509005062202007
subtb,2,0.5,22.8,0.4732986078247648
subtb,4,0.2,40.4,0.5976593859956724
subtb,4,0.5,35.4,0.5781908945193251
subtb,6,0.1,22.2,0.590702186999719
subtb,6,0.5,20.6,0.5535387716861191
subtb,8,0.2,58.6,0.8102348241538466
subtb,8,0.5,58.6,0.8107418638913932
tb,10,0.4,23.8,0.5660197846689448
tb,10,0.5,24.4,0.5672278103135014
tb,2,0.5,12.2,0.46917440705933594
tb,2,0.9,16.8,0.544827017890228
tb,4,0.5,38.0,0.5788963457126541
tb,4,0.8,41.8,0.5784892762389026
tb,6,0.5,21.6,0.5556763391531154
tb,6,0.8,23.4,0.5571471100784118
tb,8,0.1,59.0,0.8125977761388989
tb,8,0.5,58.8,0.8136395962683253
