method,k,alpha,modes_mean,modes_std,spearman_corr_test_mean,spearman_corr_test_std,mean_top_1000_R_mean,mean_top_1000_R_std
db,10,0.5,6.8,2.04939015319192,0.5689423688335364,0.005341654140195263,4.378178740623706e-28,4.480624349939606e-28
db,2,0.5,0.6,0.8944271909999159,0.31818402493509546,0.4320791354289886,9.572933189615482e-30,8.962235231568534e-30
db,4,0.5,9.8,6.496152707564686,0.5760580824259856,0.001262059952730063,5.10806232330824e-26,8.274051761371561e-26
db,6,0.5,4.2,1.9235384061671346,0.5533219030996094,0.012055189895720601,2.1063221884997727e-24,4.709387026973536e-24
db,8,0.5,36.4,1.816590212458495,0.7931465926155801,0.003919651926639887,4.909317239153638e-25,7.532927053778305e-25
fl-db,10,0.5,20.8,5.019960159204453,0.5669542957956739,0.001365338957981313,1.4015955295141291e-14,5.575872448938084e-15
fl-db,2,0.5,60.0,0.0,0.6327793631082601,0.00929378856310497,6.4437187743596e-12,7.321407264782834e-12
fl-db,4,0.5,57.6,1.3416407864998738,0.5656816918120399,0.0015821561223733772,5.135460623920908e-23,5.008012599903866e-23
fl-db,6,0.5,31.4,5.029910535983717,0.5461537870096562,0.0015784968754860166,2.180243469108601e-24,4.673636139444431e-24
fl-db,8,0.5,59.8,0.4472135954999579,0.7274276111668431,0.0060895610851723105,1.5738440131646614e-12,9.333711892856763e-13
fl-subtb,10,0.5,35.2,2.280350850198276,0.5698230811548574,0.0011603194555197542,3.3842811121997386e-14,9.407141023639626e-15
fl-subtb,2,0.5,55.4,6.024948132556827,0.47586467486630435,0.07043160992697774,0.09846314814518557,0.08988414553259154
fl-subtb,4,0.5,58.8,1.0954451150103321,0.5722781716290113,0.0016825314143111034,4.4285949418991463e-11,4.9800769985557656e-11
fl-subtb,6,0.5,48.2,2.3874672772626644,0.5550266961493311,0.002121767423561937,2.8476722245498886e-24,4.5243651826415024e-24
fl-subtb,8,0.5,60.0,0.0,0.7638446081159009,0.00850837321555682,6.655608976657594e-12,3.220633130285754e-12
subtb,10,0.5,19.2,4.919349550499537,0.566320955459521,0.0030549885868011383,5.007165593615093e-26,9.726328855008792e-26
subtb,2,0.5,22.8,13.274034804836093,0.4732986078247648,0.06485265530622937,2.3804318551180355e-05,2.6819422089875366e-05
subtb,4,0.5,35.4,4.159326868617084,0.5781908945193251,0.0006992006701263518,3.573360555884358e-25,6.278251010156919e-25
subtb,6,0.5,20.6,3.361547262794322,0.5535387716861191,0.0008768943915595353,1.569137764947787e-26,1.4380464639725616e-26
subtb,8,0.5,58.6,1.6733200530681511,0.8107418638913932,0.0031942175457535488,5.681036251842279e-23,4.1671348858221945e-23
tb,10,0.5,24.4,3.361547262794322,0.5672278103135014,0.004536173289596413,3.7338261721529486e-25,7.041799613657313e-25
tb,2,0.5,12.2,2.3874672772626644,0.46917440705933594,0.16817576211306798,0.00025866644175827477,0.0005783957472694926
tb,4,0.5,38.0,2.7386127875258306,0.5788963457126541,0.0008814939373161312,5.848752959193722e-25,7.367479890088137e-25
tb,6,0.5,21.6,2.701851217221259,0.5556763391531154,0.0017344590235908184,1.902167766331941e-26,1.5946824224520986e-26
tb,8,0.5,58.8,1.3038404810405297,0.8136395962683253,0.0028885191735389393,2.143181273168158e-23,3.241644327164122e-23
