method,k,alpha,modes_mean,modes_std,spearman_corr_test_mean,spearman_corr_test_std,mean_top_1000_R_mean,mean_top_1000_R_std
db,10,0.6,8.2,2.3874672772626644,0.5706857219971117,0.0017018518665320903,2.5615229381522233e-27,4.648427464158542e-27
db,2,0.9,2.6,2.073644135332772,0.5002684754126567,0.04181203106446249,7.667065289337692e-28,1.6662511063860075e-27
db,4,0.6,13.0,6.363961030678928,0.5752579054234543,0.0008888594620368791,7.528732255663104e-27,1.1334492084452356e-26
db,6,0.8,5.2,1.3038404810405297,0.5580407563797346,0.0042168184315480636,9.451596958540164e-28,1.5534294855172202e-27
db,8,0.9,44.4,3.7815340802378072,0.7932996386758288,0.002437682535924049,7.800922032723869e-25,8.801721525908192e-25
fl-db,10,0.2,23.4,0.5477225575051661,0.5672389382867495,0.0005575077572141599,2.2338731677704216e-14,1.5970920378889775e-14
fl-db,2,0.1,60.0,0.0,0.6236580217253802,0.0025970957707865,2.4244586278755035e-12,8.333738607646551e-13
fl-db,4,0.8,59.2,0.4472135954999579,0.5643131061346829,0.0011910654421807634,9.58455517511001e-13,4.202494327722853e-13
fl-db,6,0.1,32.0,4.06201920231798,0.5459783471707571,0.002470328731246633,2.9363741201109854e-14,9.71670794191112e-15
fl-db,8,0.2,60.0,0.0,0.728858636504296,0.006988278638711232,8.809534360313408e-13,3.0321571785893165e-13
fl-subtb,10,0.4,37.4,2.7928480087537886,0.5693915481101188,0.0005256650176070603,5.76691353189912e-14,3.699400498260312e-14
fl-subtb,2,0.2,59.8,0.4472135954999579,0.5450198976916226,0.004821273830736007,1.6086649986083421e-12,2.3596755485879544e-12
fl-subtb,4,0.6,59.4,0.5477225575051661,0.5802556155639282,0.011965239575665698,1.8097676992405661e-10,3.709988822644417e-10
fl-subtb,6,0.8,47.8,1.9235384061671343,0.5554508107603394,0.0008832084871385713,5.675624259433163e-13,1.0328133583125808e-12
fl-subtb,8,0.1,60.0,0.0,0.7646686984029195,0.006362842972236138,1.014442815957789e-11,6.031604105955571e-12
subtb,10,0.2,21.6,3.049590136395381,0.5660797359276104,0.0005078846505759975,2.2907318487149783e-26,2.5440229221774615e-26
subtb,2,0.1,20.8,11.388590782006348,0.509005062202007,0.1859391253217709,3.259242111893115e-05,7.02559684583726e-05
subtb,4,0.2,40.4,2.9664793948382653,0.5976593859956724,0.019225354777626102,2.4092580847161775e-24,4.734262591797357e-24
subtb,6,0.1,22.2,7.328028384224504,0.590702186999719,0.08810138529580029,1.3634872636126916e-26,2.0636064469094158e-26
subtb,8,0.2,58.6,0.8944271909999159,0.8102348241538466,0.0017623404120681127,2.9977483302436655e-23,3.4126148570870485e-23
tb,10,0.4,23.8,1.7888543819998317,0.5660197846689448,0.0022666384199114776,2.6199278867914026e-26,1.2767125973759635e-26
tb,2,0.9,16.8,3.7682887362833544,0.544827017890228,0.0005045913223410608,1.866951023598697e-23,4.067425437165918e-23
tb,4,0.8,41.8,5.06951674225463,0.5784892762389026,0.0009271385684023265,8.246741118776844e-25,7.476191565188537e-25
tb,6,0.8,23.4,3.714835124201342,0.5571471100784118,0.0025064661753139298,6.478587294337959e-21,1.4486426640673738e-20
tb,8,0.1,59.0,0.0,0.8125977761388989,0.0035790663651314694,1.3129153812113698e-22,2.6146201996679607e-22
