method,k,metric,best_alpha,best_value
db,10,modes,0.6,8.2
db,10,spearman_corr_test,0.6,0.5706857219971117
db,10,mean_top_1000_R,0.9,2.8615609473575006e-25
db,2,modes,0.9,2.6
db,2,spearman_corr_test,0.1,0.5123852408457579
db,2,mean_top_1000_R,0.6,5.284086995268392e-27
db,4,modes,0.6,13.0
db,4,spearman_corr_test,0.3,0.5776133425735093
db,4,mean_top_1000_R,0.7,1.2023798495460362e-26
db,6,modes,0.8,5.2
db,6,spearman_corr_test,0.8,0.5580407563797346
db,6,mean_top_1000_R,0.7,5.300388402223862e-27
db,8,modes,0.9,44.4
db,8,spearman_corr_test,0.2,0.7995966627596853
db,8,mean_top_1000_R,0.9,7.8009220327238695e-25
fl-db,10,modes,0.2,23.4
fl-db,10,spearman_corr_test,0.2,0.5672389382867495
fl-db,10,mean_top_1000_R,0.2,2.2338731677704216e-14
fl-db,2,modes,0.1,60.0
fl-db,2,spearman_corr_test,0.7,0.6292184321496161
fl-db,2,mean_top_1000_R,0.3,8.738129222596826e-12
fl-db,4,modes,0.8,59.2
fl-db,4,spearman_corr_test,0.7,0.5676239634517769
fl-db,4,mean_top_1000_R,0.7,2.8239317141232348e-12
fl-db,6,modes,0.1,32.0
fl-db,6,spearman_corr_test,0.8,0.5477243154410688
fl-db,6,mean_top_1000_R,0.1,2.9363741201109854e-14
fl-db,8,modes,0.2,60.0
fl-db,8,spearman_corr_test,0.7,0.7316944217612327
fl-db,8,mean_top_1000_R,0.6,2.4698977265681855e-12
fl-subtb,10,modes,0.4,37.4
fl-subtb,10,spearman_corr_test,0.4,0.5693915481101188
fl-subtb,10,mean_top_1000_R,0.3,9.428230250807031e-14
fl-subtb,2,modes,0.2,59.8
fl-subtb,2,spearman_corr_test,0.2,0.5450198976916227
fl-subtb,2,mean_top_1000_R,0.3,0.1312841975245505
fl-subtb,4,modes,0.6,59.4
fl-subtb,4,spearman_corr_test,0.6,0.5802556155639282
fl-subtb,4,mean_top_1000_R,0.1,0.06564209877410118
fl-subtb,6,modes,0.8,47.8
fl-subtb,6,spearman_corr_test,0.2,0.5571109308736668
fl-subtb,6,mean_top_1000_R,0.8,5.675624259433163e-13
fl-subtb,8,modes,0.1,60.0
fl-subtb,8,spearman_corr_test,0.8,0.76980901886298
fl-subtb,8,mean_top_1000_R,0.8,2.3390663004367104e-11
subtb,10,modes,0.2,21.6
subtb,10,spearman_corr_test,0.1,0.5691709274017956
subtb,10,mean_top_1000_R,0.4,1.150099839801593e-22
subtb,2,modes,0.1,20.8
subtb,2,spearman_corr_test,0.3,0.6313098528229771
subtb,2,mean_top_1000_R,0.1,3.259242111893115e-05
subtb,4,modes,0.2,40.4
subtb,4,spearman_corr_test,0.1,0.6006260040013942
subtb,4,mean_top_1000_R,0.3,1.1808580998850512e-22
subtb,6,modes,0.1,22.2
subtb,6,spearman_corr_test,0.1,0.5907021869997189
subtb,6,mean_top_1000_R,0.9,4.230092332759044e-24
subtb,8,modes,0.2,58.6
subtb,8,spearman_corr_test,0.8,0.8122209444499081
subtb,8,mean_top_1000_R,0.7,2.681807792527056e-22
tb,10,modes,0.4,23.8
tb,10,spearman_corr_test,0.2,0.5697802323651148
tb,10,mean_top_1000_R,0.1,2.1555123037747435e-24
tb,2,modes,0.9,16.8
tb,2,spearman_corr_test,0.4,0.5450243466986457
tb,2,mean_top_1000_R,0.7,1.279384846641701e-22
tb,4,modes,0.8,41.8
tb,4,spearman_corr_test,0.6,0.5788311333147356
tb,4,mean_top_1000_R,0.9,6.284904134786216e-21
tb,6,modes,0.8,23.4
tb,6,spearman_corr_test,0.8,0.5571471100784119
tb,6,mean_top_1000_R,0.8,6.478587294337959e-21
tb,8,modes,0.1,59.0
tb,8,spearman_corr_test,0.8,0.81513358810413
tb,8,mean_top_1000_R,0.9,1.8716524945992378e-17
