method,size,reward_temp,alpha,modes_mean,modes_std,mean_top_1000_R_mean,mean_top_1000_R_std,mean_top_1000_similarity_mean,mean_top_1000_similarity_std,spearman_corr_test_mean,spearman_corr_test_std
db_gfn,large,0.5,0.5,74813.7,78825.03798082039,99646067126.29678,105318363927.79512,0.8323129567351627,0.0015891456276795305,0.9902233084530817,0.0018320448831921504
db_gfn,large,1.0,0.5,0.0,0.0,58086.53540664063,5216.945176467453,0.7632136136117381,0.001973580996824038,0.984226286472507,0.003840113488095733
db_gfn,large,2.0,0.5,0.0,0.0,2214.6089535166657,2276.501054545652,0.7219827648486491,0.0004670791149926208,0.9627826670866737,0.0038850203078565357
db_gfn,large,0.5,0.9,78631.3,73726.53138464545,377486090586.405,398054541343.0014,0.8870854147687833,0.0033611663040434515,0.9749071095280548,0.006359309448678658
db_gfn,large,1.0,0.9,355.8,319.8401163081329,624721.7718625,55336.884563167565,0.8829444799811081,0.006608769930980359,0.9445149521109444,0.004376867133770443
db_gfn,large,2.0,0.9,37.7,100.99950494928181,224447.86382895903,247578.42627930618,0.858222947312066,0.008224348792836459,0.8370537275854584,0.0348642920776752
db_gfn,medium,0.5,0.5,77080.8,81228.89694875285,141997443516.0274,149839338273.5138,0.7829475067983457,0.0017869909853457224,0.9953189558117849,0.0008583427039763721
db_gfn,medium,1.0,0.5,0.0,0.0,110427.3801921875,5337.251185679056,0.7102643646273231,0.001299632278427197,0.9928684966658128,0.004152088661267388
db_gfn,medium,2.0,0.5,0.0,0.0,5482.1094151881625,5689.11566877105,0.6652836874913679,0.0006141407621571463,0.9824835380007221,0.0069483546266062984
db_gfn,medium,0.5,0.9,78223.1,82016.83433085891,249958214217.93384,263848199771.19275,0.820502515353715,0.0033383818142796646,0.9889061712937284,0.0013699084292545518
db_gfn,medium,1.0,0.9,31.4,34.0631765987848,552020.09113125,59210.23423680883,0.8034896821391918,0.009402756125763509,0.9726776333444989,0.005111517500529246
db_gfn,medium,2.0,0.9,3.0,6.79869268479038,234701.11875823076,250069.5830176661,0.800166858894762,0.008303518967311208,0.931080523958925,0.010563730080777465
db_gfn,small,0.5,0.5,44.8,47.224758101845026,0.1350622225750483,0.09051267780780785,0.7376261394656846,0.00015020587934717807,0.9985907414787552,0.0007121491778338703
