method,size,reward_temp,alpha,modes_mean,modes_std,mean_top_1000_R_mean,mean_top_1000_R_std,mean_top_1000_similarity_mean,mean_top_1000_similarity_std,spearman_corr_test_mean,spearman_corr_test_std
db_gfn,large,0.5,0.9,8727.0,3678.3170064582523,868599.1653370846,9984.984950102053,0.8871106281904713,0.0035706100289593593,0.9749071095280548,0.006745066252236545
db_gfn,large,1.0,0.9,355.8,319.8401163081329,624721.7718625,55336.884563167565,0.882944479981108,0.006608769930980358,0.9445149521109444,0.004376867133770443
db_gfn,large,2.0,0.9,75.4,139.27957495627274,448232.23314381886,112762.17113812744,0.8582322587770028,0.008734026919321847,0.8370537275854584,0.036979166024088836
db_gfn,medium,0.5,0.9,415.2,124.02902886018256,705434.8307396725,14835.21369583573,0.8205055846943121,0.0035578522996566695,0.9889061712937286,0.001453007309895758
db_gfn,medium,1.0,0.9,31.4,34.06317659878479,552020.09113125,59210.23423680883,0.8034896821391918,0.009402756125763509,0.9726776333444989,0.005111517500529246
db_gfn,medium,2.0,0.9,6.0,9.027735042633894,468720.01241237216,61572.58548593004,0.8001634915061224,0.0088204366558054,0.9310805239589252,0.011204527762113092
db_gfn,small,0.5,0.9,90.0,0.0,0.22142996021166103,3.926690544624342e-05,0.7383235507711567,5.345005322621357e-05,0.9968650947931155,0.000529857481074407
db_gfn,small,1.0,0.9,55.8,13.917614738165444,0.2043800051867962,0.006146176266598261,0.7208810241895898,0.007723312277144086,0.9952735863682072,0.0005185324267589475
db_gfn,small,2.0,0.9,13.2,6.457553716385176,0.15638875463171298,0.009423547516564905,0.6722425803051746,0.009396047728815526,0.9860354695121542,0.003621888888573793
fl_db_gfn,large,0.5,0.9,19088.0,1377.0564621684907,875841.3674062869,2985.077271194327,0.8987613478699746,0.00456314712895019,0.7163443847222213,0.022102920770748602
fl_db_gfn,large,1.0,0.9,2239.2,169.7989988191921,768544.6010625002,6904.368876756174,0.8747602442725773,0.0016563594405031151,0.8471800559070207,0.017983450911744435
fl_db_gfn,large,2.0,0.9,57.4,27.573538039214334,472091.1903122611,50150.97596711085,0.8500431248291562,0.0027062166891236813,0.9487442408415374,0.016573238327736745
fl_db_gfn,medium,0.5,0.9,8125.0,1435.0423338703288,875253.3979298867,14126.350939326752,0.8871189044526379,0.0058322854887843684,0.7433809495070087,0.024965229048872835
fl_db_gfn,medium,1.0,0.9,118.6,45.878099350343625,638688.0967875,24711.413501558287,0.8057597348865866,0.005748593363065082,0.9349651253401448,0.012630779818780462
fl_db_gfn,medium,2.0,0.9,4.4,3.5777087639996634,458420.13798559614,40338.85913608799,0.778262235316823,0.00847361240526174,0.9889133706668142,0.003019310651809919
fl_db_gfn,small,0.5,0.9,90.0,0.0,0.2213910041021462,0.00013392925736537158,0.7382670297894254,0.00016969957308686964,0.8317262516941788,0.015020506181386891
fl_db_gfn,small,1.0,0.9,88.6,2.1908902300206643,0.21995565728545188,0.002010936627553667,0.7371031396806809,0.0013797383630267642,0.9746676283437802,0.0065907262455677075
fl_db_gfn,small,2.0,0.9,74.2,12.814054783713077,0.21291703339928647,0.005915743553749688,0.7320944844044577,0.0040124098301114915,0.9905077960118316,0.0038673656304646503
tb_gfn,large,0.5,0.7,58.0,8.06225774829855,481987.83595380886,8520.897553115314,0.8379006661373168,0.0008164581761588102,0.9896351305786772,0.0009615459413539578
tb_gfn,large,1.0,0.7,591.6,210.5618673929351,683702.4598875002,32706.82228068918,0.8685232905218522,0.006927376319215567,0.9961338625080567,0.0007567105498402915
tb_gfn,large,2.0,0.7,0.4,0.5477225575051662,191334.1065454571,35994.29655481859,0.877972840939924,0.006388342427418566,0.9975706479452301,0.0006081996417039201
tb_gfn,medium,0.5,0.8,3861.4,796.4642490407211,821655.6228070138,12654.705159456289,0.8561443325747117,0.005319759174169396,0.9937090753019218,0.0007188371039604752
tb_gfn,medium,1.0,0.8,499.0,427.07142259814106,703904.3621,39194.70286546343,0.8577053213358944,0.011781387093244932,0.8616765818565602,0.30048609269408827
tb_gfn,medium,2.0,0.8,16.0,20.530465167647808,476281.3018301852,128781.90937636892,0.8773356672385454,0.01783409271688117,0.9875346417925124,0.0016316347413472849
tb_gfn,small,0.5,0.7,90.0,0.0,0.2214557859737858,5.324914454913877e-06,0.738349726466899,1.392551412158666e-05,0.9989032317359421,0.0004298615364472004
tb_gfn,small,1.0,0.7,24.8,3.271085446759225,0.1840351222574711,0.0016637230501625698,0.693666984923547,0.001707801541986522,0.9993320024335546,0.0003882307397833673
tb_gfn,small,2.0,0.7,5.2,2.7748873851023217,0.13142176389081425,0.002360070647964491,0.6458532646531436,0.0017764389918804744,0.9994368969619867,0.0003808210159695857
