method,size,alpha,n_seeds,modes_mean,modes_std,mean_top_1000_R_mean,mean_top_1000_R_std,mean_top_1000_similarity_mean,mean_top_1000_similarity_std,spearman_corr_test_mean,spearman_corr_test_std
fl_subtb_gfn,large,0.1,5,6.4,4.560701700396552,208113.06995562438,51302.78640880377,0.7999439097552768,0.009662392797856752,0.9313900191829187,0.01831992077894967
fl_subtb_gfn,large,0.2,5,4.2,4.08656334834051,209808.02550840974,20922.255937656697,0.8002276759934454,0.0039008982948773234,0.923500225449837,0.010036878859217615
fl_subtb_gfn,large,0.3,5,5.0,3.1622776601683795,239392.94042625284,22543.947350546816,0.8046544186017857,0.0036790014485019074,0.9466687628210041,0.014535147207855318
fl_subtb_gfn,large,0.4,5,46.8,62.062065708450284,440945.93990300474,76424.6575177188,0.8325876301493705,0.00944849437429583,0.9581026749421409,0.01253348075538719
fl_subtb_gfn,large,0.5,5,190.2,48.66415518633813,589971.9830935139,25231.3936195415,0.8507416408869141,0.0028928820907482993,0.9733077720451939,0.007063132544472549
fl_subtb_gfn,large,0.6,5,1071.4,262.14938489342296,733963.8601823978,18762.928116385832,0.8673970473824184,0.0019123801656387267,0.9675880004024044,0.015691361076026783
fl_subtb_gfn,large,0.7,5,2319.2,1230.5274072526788,769346.2804873503,56716.92559241765,0.8824711753149781,0.008576024472349005,0.9722171226771955,0.003133937072304898
fl_subtb_gfn,large,0.8,5,3809.4,1893.070468841559,819447.4033923341,61927.154859074864,0.8862862955458887,0.010555954730926952,0.9687865196485694,0.004371224387989701
fl_subtb_gfn,large,0.9,5,3767.8,2017.579663854689,795987.1762018853,84022.37524899494,0.8962614424038586,0.007056286631749084,0.9611189660281323,0.006707863587281863
fl_subtb_gfn,medium,0.1,5,0.0,0.0,171446.42702956987,85092.0563465694,0.7550936205336063,0.009736398056238996,0.9723571009645176,0.004071694693665415
fl_subtb_gfn,medium,0.2,5,0.0,0.0,295866.4200820097,33545.31624365822,0.7624686446517484,0.006273286282183147,0.9699478916723152,0.012571629945189879
fl_subtb_gfn,medium,0.3,5,0.2,0.44721359549995804,371441.2429195191,19952.45546646961,0.7660483510791039,0.0057205837694347715,0.9811695475423312,0.009580062984781732
fl_subtb_gfn,medium,0.4,5,5.8,3.271085446759225,478237.1099726862,23791.332859292066,0.7786144630212003,0.0009069487881812161,0.9882014723537715,0.0036555702033530487
fl_subtb_gfn,medium,0.5,5,16.0,8.602325267042627,531806.1657169855,14738.447097982487,0.7844598095431834,0.0022654910317815294,0.9723053306070353,0.005821709238644505
fl_subtb_gfn,medium,0.6,5,32.6,8.414273587185052,574079.2808945928,20232.02268438683,0.794766252220612,0.008208806707439807,0.9666100547558788,0.012918247236371777
fl_subtb_gfn,medium,0.7,5,88.0,50.52722038663912,620631.5296588788,27869.692030177026,0.8106944250770992,0.004769588810440401,0.9440639774282845,0.007763090392741082
fl_subtb_gfn,medium,0.8,5,258.6,296.3212783449747,655796.0508125054,68334.68959847165,0.8715783651599944,0.008507512364810904,0.7754044777928936,0.031217235778629747
fl_subtb_gfn,medium,0.9,5,11.6,9.316651759081692,517605.00653550745,41619.56048703557,0.8522859141593416,0.026914657525598067,0.6564962428810557,0.014008672219007897
fl_subtb_gfn,small,0.1,5,60.4,9.838699100999076,0.20368062960505484,0.005843477177866271,0.7248732545979151,0.00391977794139064,0.9879178455417797,0.003347465392721963
fl_subtb_gfn,small,0.2,5,72.8,12.357184145265457,0.21313952628970148,0.004680045536777693,0.7314894745715812,0.0038050030530373596,0.9891022918943131,0.0038827707201239776
fl_subtb_gfn,small,0.3,5,84.6,9.289779329994873,0.21796642630100252,0.004566150922518777,0.7348808019929406,0.003949332868655712,0.9952647477569834,0.0019265180190042234
fl_subtb_gfn,small,0.4,5,89.4,0.8944271909999159,0.22089076945483685,0.0003364552100902027,0.7376127628291187,0.00037530166983873854,0.9957103346739903,0.0021652654858591554
fl_subtb_gfn,small,0.5,5,89.6,0.8944271909999159,0.22115283660366392,0.00026835924449092536,0.7379225193011723,0.00034086158279121506,0.9965851992817957,0.0009475873805664309
fl_subtb_gfn,small,0.6,5,90.0,0.0,0.22134693241119385,6.659217227365903e-05,0.738192225529118,9.658085872808739e-05,0.9907505117855923,0.00241897984876273
fl_subtb_gfn,small,0.7,5,89.8,0.4472135954999579,0.2211039305955172,0.0003111242953338091,0.7378482764907106,0.00034720503640027695,0.9656298767142486,0.004362796517710065
fl_subtb_gfn,small,0.8,5,52.2,20.0922870773837,0.20549457599520685,0.008176693373934956,0.7265435735226113,0.00608438353989914,0.8595623674229692,0.02094079775529931
fl_subtb_gfn,small,0.9,5,30.0,26.43860813280457,0.18612602105736734,0.013516019502379843,0.7193711739307324,0.007241703972578339,0.7894095726527885,0.029819925472623958
subtb_gfn,large,0.1,5,0.0,0.0,1650.5381611224796,121.0959352822607,0.711615136646546,0.0009468689306248951,0.9290853416027615,0.033560331817742386
subtb_gfn,large,0.2,5,0.0,0.0,2825.2158455561307,110.2503571390596,0.7175088344054528,0.000612595074270141,0.92789414545613,0.04445973231431066
subtb_gfn,large,0.3,5,0.0,0.0,4996.317949570499,324.09272022359096,0.7244586359563416,0.00089856159738391,0.916025391475728,0.0428266244168317
subtb_gfn,large,0.4,5,0.0,0.0,30330.645488866903,10740.549518758624,0.7620398896694034,0.011193430141246631,0.9244716492008962,0.009264084842936825
subtb_gfn,large,0.5,5,0.0,0.0,53579.35518484357,27673.865226881404,0.7903538116890931,0.017526482794904843,0.9436808532742686,0.008025754856605893
subtb_gfn,large,0.6,5,0.0,0.0,99808.87694878058,20334.155148946455,0.8363502379322864,0.014489454985221882,0.9205307107852638,0.03038725806599221
subtb_gfn,large,0.7,5,0.0,0.0,162907.47489476507,74847.66816835059,0.8605566358506458,0.009212166049643132,0.9218858335985208,0.015049629376248586
subtb_gfn,large,0.8,5,2.0,4.47213595499958,159144.7326092174,87726.56243759464,0.8721590114752258,0.016762502819841846,0.9163224582650511,0.016924459756307842
subtb_gfn,large,0.9,5,0.0,0.0,169377.5466406179,81250.30264930513,0.9034390722937978,0.01604998252724169,0.9177073904284547,0.015149001087030945
subtb_gfn,medium,0.1,5,0.0,0.0,20255.614255702596,913.6767450222288,0.675373203110474,0.000572937487310343,0.9742773214055818,0.008917488462993865
