method,k,alpha,modes_mean,modes_std,spearman_corr_test_mean,spearman_corr_test_std,mean_top_1000_R_mean,mean_top_1000_R_std
db,2,0.1,30.5,31.10287589418202,0.5632946577889231,0.07085470224526258,1.2122293139377516e-12,1.3933591330515325e-12
db,2,0.2,30.8,30.796103649650227,0.5297291297080056,0.1334861346751981,1.759067304074415e-12,2.59250583955214e-12
db,2,0.3,30.6,30.995340151563283,0.5638485100004724,0.06486045581738041,4.369064611298413e-12,6.923234407980221e-12
db,2,0.4,30.5,30.905770766422677,0.5123412709263082,0.17516280841047585,3.300777126834152e-12,5.917421975066008e-12
db,2,0.5,30.8,30.781668426372068,0.5530527571310657,0.0970279073630276,3.2218593871798e-12,5.946201368706331e-12
db,2,0.6,31.1,30.50118394787688,0.40025114704042714,0.3251412977990176,1.7755580010268646e-12,2.0745502238122034e-12
db,2,0.7,30.8,30.788886883996884,0.4568678848248157,0.24572370152520193,1.521755117226569e-12,1.6809526502574032e-12
db,2,0.8,30.7,30.89786040776574,0.3225440636994974,0.36651883411100006,1.2667698701088988e-12,1.7328698563147156e-12
db,2,0.9,31.7,29.63125227038356,0.41459581822011426,0.20355631937590465,8.992262965119838e-13,1.557313218874765e-12
db,4,0.1,32.6,26.83364389054242,0.5697066460241308,0.005600910310398516,5.344000937656613e-22,1.3881198929599784e-21
db,4,0.2,32.2,27.025913490574187,0.5710866785368378,0.005446582627031978,6.595525216054511e-13,8.045730426124521e-13
db,4,0.3,32.8,26.78639787487506,0.5710360601186645,0.005508036507530638,3.882453473913637e-13,4.5192883501320337e-13
db,4,0.4,32.1,27.581998960674817,0.570153148576291,0.00513114296800185,8.096826168995606e-23,2.0798215366447904e-22
db,4,0.5,33.0,25.970068241043275,0.5708856778496728,0.005796283598060764,2.5678244225855104e-23,4.2979105726623837e-23
db,4,0.6,33.5,26.39970538556149,0.5705940240948068,0.004520985901225847,4.740090813143998e-22,1.33196358519881e-21
db,4,0.7,32.4,26.671666198004537,0.5706494433891517,0.0037769391329475752,1.4119658570616178e-12,2.0510920811067153e-12
db,4,0.8,35.1,25.43597627158999,0.5692542083103387,0.005280263351778175,4.792277587555237e-13,5.776418335304412e-13
db,4,0.9,31.7,28.82533607783264,0.568706532797856,0.004264498597903649,9.17674870289688e-13,1.0686643481788418e-12
db,6,0.1,18.8,14.234543274099881,0.5493734969312377,0.004833962373685907,1.4681870600555482e-14,1.6777070649576143e-14
db,6,0.2,18.1,13.892044086054756,0.5495243158703542,0.004587785644856492,8.22109695738999e-26,1.2279684918425216e-25
db,6,0.3,17.8,14.31238779674602,0.5489877137672765,0.0044402442411611434,1.050214851813157e-25,2.0760778813119243e-25
db,6,0.4,14.9,11.976365614548236,0.5501227242513863,0.004875895438300042,1.0318277749280895e-14,1.1862031072259551e-14
db,6,0.5,17.8,14.763317904710837,0.5489901929619347,0.004113706779411733,1.0905456665914196e-24,3.320741581914838e-24
db,6,0.6,16.2,12.934020600296293,0.5489344081873941,0.006236928070630046,1.1089701139445421e-24,3.311638407961752e-24
db,6,0.7,15.2,12.090400232323898,0.548828569916049,0.004625139518834494,1.0740805520852377e-24,3.322789857351804e-24
db,6,0.8,13.8,10.819735055289785,0.5498546467035133,0.005767811548016758,9.722527955008477e-15,1.2650720734346243e-14
db,6,0.9,14.4,12.807983621337296,0.5484480938236904,0.006835751159045774,1.2741004384286681e-14,1.6545829581227016e-14
db,8,0.1,46.1,14.502490207623735,0.7580831242735808,0.0403486121241675,1.217341591742651e-12,1.8697699083748834e-12
db,8,0.2,45.3,15.57098441189752,0.7614644071479039,0.034723079886406966,4.404767180157285e-13,5.063986656736942e-13
db,8,0.3,45.7,14.644301128956458,0.7621365290590134,0.03377651078118051,1.086505058039177e-12,2.0283275066861787e-12
db,8,0.4,46.7,14.04002215889356,0.7641287584211037,0.03610178002185622,7.682577153188708e-13,1.0391879652822012e-12
db,8,0.5,45.9,14.858218825507539,0.7608995939974201,0.03557519213858788,7.869220065823734e-13,1.036939382798627e-12
db,8,0.6,47.6,13.418064109417738,0.7617647781350515,0.03549505947084216,1.2349488632841667e-12,2.3160539743028086e-12
db,8,0.7,46.6,14.561745927066728,0.7632016726263741,0.03358524107436338,6.485451161762393e-13,7.711373446123744e-13
db,8,0.8,49.0,11.65237219529902,0.762148946216465,0.03746383648811238,9.302820616457227e-13,1.1831278521280835e-12
db,8,0.9,48.9,11.901913945057558,0.761817255974055,0.03594057510630455,7.575845099571151e-13,9.57531529243093e-13
db,10,0.1,13.1,7.415449338299662,0.5669932523176985,0.0021937621676289,1.114698884688812e-14,1.287171121661222e-14
db,10,0.2,15.4,8.540101482613267,0.5690055712205296,0.0026786245708184135,1.1169365838855333e-14,1.587390774340707e-14
db,10,0.3,13.2,7.612854625930772,0.5671913242493263,0.001449874600819702,6.9994181163322946e-15,8.632375583946412e-15
db,10,0.4,12.4,5.601587076693334,0.567779366950856,0.0020139483021640583,6.2457517060368865e-15,8.724690526710107e-15
db,10,0.5,13.8,8.121302577515232,0.5684258358884536,0.0021436712056372284,7.007977647571205e-15,8.269615880880017e-15
db,10,0.6,12.7,7.860590874030329,0.5665790245900952,0.0019051517097671276,8.93757075626749e-15,1.4162670427727483e-14
db,10,0.7,14.1,8.646772037394456,0.5678090950487885,0.0015357535661570396,7.19900327856516e-15,9.046602504641853e-15
db,10,0.8,13.3,7.616502551113018,0.5673490037967254,0.0027647039841272388,7.870149485716268e-27,1.0425411673246184e-26
db,10,0.9,13.4,7.275529763071094,0.5670873591706125,0.0022169357054013907,5.284846388116748e-15,5.845577925079286e-15
subtb,2,0.1,42.0,19.708993998792643,0.6346365766493358,0.11920542913746256,3.858734846757462e-13,4.922345989584033e-13
subtb,2,0.2,41.6,20.189105973271822,0.6380477931401707,0.12275224618201465,8.043324993043286e-13,1.7870454347510734e-12
subtb,2,0.3,37.7,13.752171545694965,0.5875310060477247,0.11931167231309223,0.06564216038632269,0.08474353206802289
subtb,2,0.4,37.5,24.80255363196835,0.5889519430345056,0.0961200915598209,3.281309781589767e-13,4.545975624707242e-13
subtb,2,0.5,40.2,17.64338088034402,0.6047615280191175,0.16030634444051522,0.04923157407259279,0.07927036529718914
subtb,2,0.6,36.4,25.087402770669144,0.5275821138527965,0.03256177330702552,0.03282114249759446,0.0691927984180273
subtb,2,0.7,37.4,24.76197802186965,0.566565466721782,0.07264663446789792,1.3161810923592139e-11,3.5794222491858e-11
subtb,2,0.8,36.1,25.35722557554136,0.5617552440038629,0.057902408813048076,1.9145007587588955e-12,5.356311647271987e-12
subtb,2,0.9,37.3,23.347852625503318,0.5422702426618579,0.0010978877909843874,5.16644797367754e-13,6.119754303010435e-13
subtb,4,0.1,52.0,7.5571893658364235,0.5898770454377831,0.08478770821613023,0.03282104938705059,0.06919284749098362
