method,k,alpha,modes_mean,modes_std,spearman_corr_test_mean,spearman_corr_test_std,mean_top_1000_R_mean,mean_top_1000_R_std
db,2,0.5,30.8,30.781668426372068,0.5530527571310657,0.0970279073630276,3.2218593871797997e-12,5.946201368706331e-12
db,2,0.9,31.7,29.63125227038356,0.4145958182201142,0.2035563193759046,8.992262965119838e-13,1.557313218874765e-12
db,4,0.5,33.0,25.970068241043275,0.5708856778496728,0.0057962835980607,2.5678244225855104e-23,4.297910572662384e-23
db,4,0.6,33.5,26.39970538556149,0.5705940240948068,0.0045209859012258,4.740090813143998e-22,1.33196358519881e-21
db,6,0.5,17.8,14.763317904710837,0.5489901929619347,0.0041137067794117,1.0905456665914196e-24,3.320741581914838e-24
db,6,0.8,13.8,10.819735055289785,0.5498546467035133,0.0057678115480167,9.722527955008476e-15,1.2650720734346243e-14
db,8,0.5,45.9,14.85821882550754,0.7608995939974201,0.0355751921385878,7.869220065823734e-13,1.036939382798627e-12
db,8,0.9,48.9,11.901913945057558,0.761817255974055,0.0359405751063045,7.575845099571151e-13,9.57531529243093e-13
db,10,0.5,13.8,8.121302577515232,0.5684258358884536,0.0021436712056372,7.007977647571205e-15,8.269615880880017e-15
db,10,0.6,12.7,7.860590874030329,0.5665790245900952,0.0019051517097671,8.93757075626749e-15,1.4162670427727484e-14
subtb,2,0.1,42.0,19.708993998792643,0.6346365766493358,0.1192054291374625,3.8587348467574623e-13,4.922345989584034e-13
subtb,2,0.5,40.2,17.64338088034402,0.6047615280191175,0.1603063444405152,0.0492315740725927,0.0792703652971891
subtb,4,0.2,50.6,9.179687721631202,0.6008675417193488,0.0779822761389909,0.0107271234364681,0.0339221427841138
subtb,4,0.5,48.6,10.915839663331242,0.5755375909510179,0.0036816414415613,2.2142974709496087e-11,4.058404182060727e-11
subtb,6,0.1,35.1,11.751595636338072,0.5750662153532631,0.0671445098182204,6.94821089220207e-14,8.81987527776882e-14
subtb,6,0.5,35.2,13.93476866610199,0.5552337438532526,0.0019722492725975,1.4494652072326791e-24,3.357673023621504e-24
subtb,8,0.2,59.4,0.8432740427115677,0.7889009605143034,0.0208334906002137,4.448484239060045e-12,5.511694703656533e-12
subtb,8,0.5,59.4,1.07496769977314,0.7871034835525527,0.0253055410698606,3.3278044883970436e-12,4.112754391462512e-12
subtb,10,0.2,27.4,8.909420731886991,0.5677924011554754,0.0021232497541669,2.7709716906297843e-14,4.0919173451624605e-14
subtb,10,0.5,27.4,8.983936281558945,0.5689538638670658,0.002000841435252,1.692140556114394e-14,1.890713231238822e-14
tb,2,0.5,11.4,3.2093613071762426,0.5447175388187728,0.0033162333606558,5.880684384006917e-26,9.52398913468812e-26
tb,2,0.9,2.4,1.140175425099138,0.5377888642691162,0.0130665270477608,4.641538688032132e-26,9.878607936579596e-26
tb,4,0.5,47.2,2.280350850198276,0.5788856678317819,0.0008374663203523,2.5022667164194294e-22,3.334333758297491e-22
tb,4,0.8,15.8,3.2710854467592254,0.5783588488797958,0.0013093541643268,1.7594934048493383e-24,1.4081055306682646e-24
tb,6,0.5,28.6,4.03732584763727,0.5545335672815749,0.0023465752919979,1.5692945639469942e-23,3.474540727663812e-23
tb,6,0.8,12.0,8.54400374531753,0.5563455437303919,0.0024683481436476,4.535199060247141e-26,8.320857214850795e-26
tb,8,0.1,59.6,0.547722557505166,0.8137886610653926,0.0048780298397659,9.265622396118714e-22,1.90837166223482e-21
tb,8,0.5,59.4,0.547722557505166,0.8107904302220523,0.0042580604729549,6.3081720654104555e-21,1.4086966025250698e-20
tb,10,0.4,23.8,2.3874672772626644,0.5659027641682183,0.0047847578440712,1.0595851487895118e-25,9.008738017551672e-26
tb,10,0.5,25.4,4.827007354458868,0.5690091585113691,0.0031155514335697,3.436899533321704e-25,6.315035583616714e-25
