,summary,config,name
0,"{'M_size': 60, '_runtime': 59210.757377406, '_step': 49999, '_test_tokens': {'_type': 'histogram'}, '_timestamp': 1756888189.2433088, 'alpha': 0.5036646127700806, 'alpha_init': 0.7, 'alpha_sched': 'hold_exp', 'alpha_warm_frac': 0.8, 'avg_current_reward_eval': 1.7941731810845814e-37, 'backward_avg_action_prob_eval': 0.13316623769734637, 'backward_avg_action_prob_test': 0.13316623769734634, 'backward_policy_entropy_eval': 2.4886078782944723, 'backward_policy_entropy_test': 2.488607878294472, 'batch_size': 16, 'clip_scale_avg_interval': 0.8424489956988646, 'clip_trigger_rate_interval': 0.5102040816326531, 'corr_num_rounds': 10, 'dropout': 0.1, 'entropy_coeff': 1, 'eval_every': 50, 'eval_interval_sec': 89.72748374938965, 'exp_weight_sched': 'linear', 'exp_weight_warm_frac': 0, 'forward_avg_action_prob_eval': 0.009264481129745645, 'forward_avg_action_prob_test': 0.009978525832974507, 'forward_policy_entropy_eval': 5.015477522214254, 'forward_policy_entropy_test': 5.219957298080127, 'grad_clip_norm': 2, 'k': 4, 'learning_rate': 0.002, 'log_Z': 0, 'loss': 1.6459617614746094, 'mean_R_all_unique': 1.825451846533256e-31, 'mean_top_1000_R': 1.4599646729234274e-28, 'mean_top_100_R': 1.4467468526143112e-27, 'mode_threshold': 30, 'model_seed': 0, 'modes': 8, 'n': 120, 'n_test_steps': 1000, 'num_iterations': 50000, 'objective': 'db', 'pearson_corr_test': 0.5918282136802303, 'rand_action_prob': 0.0010199800000000314, 'rand_action_prob_final': 0.001, 'reward_exponent': 2, 'sampling_seed': 2, 'spearman_corr_test': 0.5742087233531391, 'step': 49999, 'steps_to_update_sampling_model': 1, 'subtb_lambda': 1.9, 'unique_samples_eval': 800000, 'use_alpha_scheduler': True, 'use_exp_weight_decay': True, 'z_learning_rate': 0.001}",{},k(4)_ms(0)_ss(2)_m(db)_a(0.7)
1,"{'M_size': 60, '_runtime': 65659.388108386, '_step': 49999, '_test_tokens': {'_type': 'histogram'}, '_timestamp': 1756936670.986115, 'alpha': 0.5054969191551208, 'alpha_init': 0.8, 'alpha_sched': 'hold_exp', 'alpha_warm_frac': 0.8, 'avg_current_reward_eval': 6.160913463495245e-35, 'backward_avg_action_prob_eval': 0.07799784021586229, 'backward_avg_action_prob_test': 0.07799784021586231, 'backward_policy_entropy_eval': 3.1438028903946043, 'backward_policy_entropy_test': 3.1438028903946047, 'batch_size': 16, 'clip_scale_avg_interval': 0.04319621885955613, 'clip_trigger_rate_interval': 1, 'corr_num_rounds': 10, 'dropout': 0.1, 'entropy_coeff': 1, 'eval_every': 50, 'eval_interval_sec': 145.21882820129397, 'exp_weight_sched': 'linear', 'exp_weight_warm_frac': 0, 'forward_avg_action_prob_eval': 0.02017700611613691, 'forward_avg_action_prob_test': 0.020647678028986167, 'forward_policy_entropy_eval': 4.418104588985443, 'forward_policy_entropy_test': 4.509093208571275, 'grad_clip_norm': 2, 'k': 2, 'learning_rate': 0.002, 'log_Z': -0.19933131337165833, 'loss': 56.91307830810547, 'mean_R_all_unique': 1.4689152508995812e-27, 'mean_top_1000_R': 2.2074654637724747e-25, 'mean_top_100_R': 2.2066059310881356e-24, 'mode_threshold': 30, 'model_seed': 0, 'modes': 3, 'n': 120, 'n_test_steps': 1000, 'num_iterations': 50000, 'objective': 'tb', 'pearson_corr_test': 0.589932410673377, 'rand_action_prob': 0.0010199800000000314, 'rand_action_prob_final': 0.001, 'reward_exponent': 2, 'sampling_seed': 0, 'spearman_corr_test': 0.5425630014838417, 'step': 49999, 'steps_to_update_sampling_model': 1, 'subtb_lambda': 1.9, 'unique_samples_eval': 150284, 'use_alpha_scheduler': True, 'use_exp_weight_decay': True, 'z_learning_rate': 0.001}",{},k(2)_ms(0)_ss(0)_m(tb)_a(0.8)
2,"{'M_size': 60, '_runtime': 82164.573257318, '_step': 49999, '_test_tokens': {'_type': 'histogram'}, '_timestamp': 1756950440.7851217, 'alpha': 0.49450311064720154, 'alpha_init': 0.2, 'alpha_sched': 'hold_exp', 'alpha_warm_frac': 0.8, 'avg_current_reward_eval': 1.1494520095349453e-36, 'backward_avg_action_prob_eval': 0.07799784021586229, 'backward_avg_action_prob_test': 0.07799784021586231, 'backward_policy_entropy_eval': 3.1438028903946043, 'backward_policy_entropy_test': 3.1438028903946047, 'batch_size': 16, 'clip_scale_avg_interval': 0.05187529645781515, 'clip_trigger_rate_interval': 1, 'corr_num_rounds': 10, 'dropout': 0.1, 'entropy_coeff': 1, 'eval_every': 50, 'eval_interval_sec': 135.91364550590515, 'exp_weight_sched': 'linear', 'exp_weight_warm_frac': 0, 'forward_avg_action_prob_eval': 0.019836846149216096, 'forward_avg_action_prob_test': 0.020516610914317425, 'forward_policy_entropy_eval': 4.422122363249461, 'forward_policy_entropy_test': 4.512885196606319, 'grad_clip_norm': 2, 'k': 2, 'learning_rate': 0.002, 'log_Z': -0.16069984436035156, 'loss': 28.913888931274418, 'mean_R_all_unique': 2.509231314872666e-28, 'mean_top_1000_R': 2.0073844965356607e-25, 'mean_top_100_R': 2.0073563465897843e-24, 'mode_threshold': 30, 'model_seed': 0, 'modes': 16, 'n': 120, 'n_test_steps': 1000, 'num_iterations': 50000, 'objective': 'tb', 'pearson_corr_test': 0.591596514805079, 'rand_action_prob': 0.0010199800000000314, 'rand_action_prob_final': 0.001, 'reward_exponent': 2, 'sampling_seed': 3, 'spearman_corr_test': 0.5434453999729612, 'step': 49999, 'steps_to_update_sampling_model': 1, 'subtb_lambda': 1.9, 'unique_samples_eval': 800000, 'use_alpha_scheduler': True, 'use_exp_weight_decay': True, 'z_learning_rate': 0.001}",{},k(2)_ms(0)_ss(3)_m(tb)_a(0.2)
3,"{'M_size': 60, '_runtime': 34413.143852755, '_step': 49999, '_test_tokens': {'_type': 'histogram'}, '_timestamp': 1756900921.599342, 'alpha': 0.5, 'alpha_init': 0.5, 'alpha_sched': 'hold_exp', 'alpha_warm_frac': 0.8, 'avg_current_reward_eval': 1.0905360969674289e-35, 'backward_avg_action_prob_eval': 0.22121526621526624, 'backward_avg_action_prob_test': 0.22121526621526624, 'backward_policy_entropy_eval': 1.859951425589614, 'backward_policy_entropy_test': 1.859951425589614, 'batch_size': 16, 'clip_scale_avg_interval': 0.4005861705278342, 'clip_trigger_rate_interval': 0.979591836734694, 'corr_num_rounds': 10, 'dropout': 0.1, 'entropy_coeff': 1, 'eval_every': 50, 'eval_interval_sec': 56.67776846885681, 'exp_weight_sched': 'linear', 'exp_weight_warm_frac': 0, 'forward_avg_action_prob_eval': 0.0015321864028616497, 'forward_avg_action_prob_test': 0.001400346387832542, 'forward_policy_entropy_eval': 6.683052126566569, 'forward_policy_entropy_test': 7.212315824270249, 'grad_clip_norm': 2, 'k': 8, 'learning_rate': 0.002, 'log_Z': 0, 'loss': 1.4552360773086548, 'mean_R_all_unique': 4.960491030532826e-29, 'mean_top_1000_R': 3.968201855850835e-26, 'mean_top_100_R': 3.960414437571013e-25, 'mode_threshold': 30, 'model_seed': 0, 'modes': 34, 'n': 120, 'n_test_steps': 1000, 'num_iterations': 50000, 'objective': 'db', 'pearson_corr_test': 0.8459351958101959, 'rand_action_prob': 0.0010199800000000314, 'rand_action_prob_final': 0.001, 'reward_exponent': 2, 'sampling_seed': 2, 'spearman_corr_test': 0.7913433181924113, 'step': 49999, 'steps_to_update_sampling_model': 1, 'subtb_lambda': 1.9, 'unique_samples_eval': 800000, 'use_alpha_scheduler': True, 'use_exp_weight_decay': True, 'z_learning_rate': 0.001}",{},k(8)_ms(0)_ss(2)_m(db)_a(0.5)
4,"{'M_size': 60, '_runtime': 93572.40464991, '_step': 49999, '_test_tokens': {'_type': 'histogram'}, '_timestamp': 1756961849.2079637, 'alpha': 0.4981676936149597, 'alpha_init': 0.4, 'alpha_sched': 'hold_exp', 'alpha_warm_frac': 0.8, 'avg_current_reward_eval': 7.815169288758411e-40, 'backward_avg_action_prob_eval': 0.07799784021586229, 'backward_avg_action_prob_test': 0.07799784021586231, 'backward_policy_entropy_eval': 3.1438028903946043, 'backward_policy_entropy_test': 3.1438028903946047, 'batch_size': 16, 'clip_scale_avg_interval': 0.9957790446077296, 'clip_trigger_rate_interval': 0.04081632653061224, 'corr_num_rounds': 10, 'dropout': 0.1, 'entropy_coeff': 1, 'eval_every': 50, 'eval_interval_sec': 133.25446891784668, 'exp_weight_sched': 'linear', 'exp_weight_warm_frac': 0, 'forward_avg_action_prob_eval': 0.019670088930676385, 'forward_avg_action_prob_test': 0.020033999746238505, 'forward_policy_entropy_eval': 4.436489355564118, 'forward_policy_entropy_test': 4.527560015574098, 'grad_clip_norm': 2, 'k': 2, 'learning_rate': 0.002, 'log_Z': 0, 'loss': 0.32743966579437256, 'mean_R_all_unique': 1.8617206006653583e-32, 'mean_top_1000_R': 1.4892318282918088e-29, 'mean_top_100_R': 1.4856807718085596e-28, 'mode_threshold': 30, 'model_seed': 0, 'modes': 1, 'n': 120, 'n_test_steps': 1000, 'num_iterations': 50000, 'objective': 'db', 'pearson_corr_test': 0.5509097854946122, 'rand_action_prob': 0.0010199800000000314, 'rand_action_prob_final': 0.001, 'reward_exponent': 2, 'sampling_seed': 0, 'spearman_corr_test': 0.5056299418533685, 'step': 49999, 'steps_to_update_sampling_model': 1, 'subtb_lambda': 1.9, 'unique_samples_eval': 800000, 'use_alpha_scheduler': True, 'use_exp_weight_decay': True, 'z_learning_rate': 0.001}",{},k(2)_ms(0)_ss(0)_m(db)_a(0.4)
5,"{'M_size': 60, '_runtime': 29378.56051111, '_step': 49999, '_test_tokens': {'_type': 'histogram'}, '_timestamp': 1756864493.664348, 'alpha': 0.5036646127700806, 'alpha_init': 0.7, 'alpha_sched': 'hold_exp', 'alpha_warm_frac': 0.8, 'avg_current_reward_eval': 6.358073719406739e-39, 'backward_avg_action_prob_eval': 0.1798869828571841, 'backward_avg_action_prob_test': 0.17988698285718407, 'backward_policy_entropy_eval': 2.1167808230378538, 'backward_policy_entropy_test': 2.116780823037854, 'batch_size': 16, 'clip_scale_avg_interval': 0.54254827077984, 'clip_trigger_rate_interval': 0.979591836734694, 'corr_num_rounds': 10, 'dropout': 0.1, 'entropy_coeff': 1, 'eval_every': 50, 'eval_interval_sec': 56.89545154571533, 'exp_weight_sched': 'linear', 'exp_weight_warm_frac': 0, 'forward_avg_action_prob_eval': 0.003379172596032731, 'forward_avg_action_prob_test': 0.003316966986443731, 'forward_policy_entropy_eval': 5.898649597167969, 'forward_policy_entropy_test': 6.253284429848194, 'grad_clip_norm': 2, 'k': 6, 'learning_rate': 0.002, 'log_Z': 0, 'loss': 1.4365159273147583, 'mean_R_all_unique': 1.0961226076488342e-31, 'mean_top_1000_R': 8.768011780189366e-29, 'mean_top_100_R': 8.735956746045773e-28, 'mode_threshold': 30, 'model_seed': 0, 'modes': 2, 'n': 120, 'n_test_steps': 1000, 'num_iterations': 50000, 'objective': 'db', 'pearson_corr_test': 0.5984081906424911, 'rand_action_prob': 0.0010199800000000314, 'rand_action_prob_final': 0.001, 'reward_exponent': 2, 'sampling_seed': 0, 'spearman_corr_test': 0.5568572731755594, 'step': 49999, 'steps_to_update_sampling_model': 1, 'subtb_lambda': 1.9, 'unique_samples_eval': 800000, 'use_alpha_scheduler': True, 'use_exp_weight_decay': True, 'z_learning_rate': 0.001}",{},k(6)_ms(0)_ss(0)_m(db)_a(0.7)
6,"{'M_size': 60, '_runtime': 34609.145707808, '_step': 49999, '_test_tokens': {'_type': 'histogram'}, '_timestamp': 1756870020.5134616, 'alpha': 0.5073291659355164, 'alpha_init': 0.9, 'alpha_sched': 'hold_exp', 'alpha_warm_frac': 0.8, 'avg_current_reward_eval': 8.830063772568189e-40, 'backward_avg_action_prob_eval': 0.1798869828571841, 'backward_avg_action_prob_test': 0.17988698285718407, 'backward_policy_entropy_eval': 2.1167808230378538, 'backward_policy_entropy_test': 2.116780823037854, 'batch_size': 16, 'clip_scale_avg_interval': 0.6081594441177294, 'clip_trigger_rate_interval': 0.8571428571428571, 'corr_num_rounds': 10, 'dropout': 0.1, 'entropy_coeff': 1, 'eval_every': 50, 'eval_interval_sec': 65.93737387657166, 'exp_weight_sched': 'linear', 'exp_weight_warm_frac': 0, 'forward_avg_action_prob_eval': 0.0030484020127914844, 'forward_avg_action_prob_test': 0.0032069729161885332, 'forward_policy_entropy_eval': 5.899528360366821, 'forward_policy_entropy_test': 6.255702527403831, 'grad_clip_norm': 2, 'k': 6, 'learning_rate': 0.002, 'log_Z': 0, 'loss': 2.0877692699432373, 'mean_R_all_unique': 1.326325057978218e-32, 'mean_top_1000_R': 1.0601750483200824e-29, 'mean_top_100_R': 1.0343783042579515e-28, 'mode_threshold': 30, 'model_seed': 0, 'modes': 0, 'n': 120, 'n_test_steps': 1000, 'num_iterations': 50000, 'objective': 'db', 'pearson_corr_test': 0.5825138165838308, 'rand_action_prob': 0.0010199800000000314, 'rand_action_prob_final': 0.001, 'reward_exponent': 2, 'sampling_seed': 2, 'spearman_corr_test': 0.5477914608334796, 'step': 49999, 'steps_to_update_sampling_model': 1, 'subtb_lambda': 1.9, 'unique_samples_eval': 800000, 'use_alpha_scheduler': True, 'use_exp_weight_decay': True, 'z_learning_rate': 0.001}",{},k(6)_ms(0)_ss(2)_m(db)_a(0.9)
7,"{'M_size': 60, '_runtime': 79304.869214059, '_step': 49999, '_test_tokens': {'_type': 'histogram'}, '_timestamp': 1756947581.7584374, 'alpha': 0.5018323063850403, 'alpha_init': 0.6, 'alpha_sched': 'hold_exp', 'alpha_warm_frac': 0.8, 'avg_current_reward_eval': 4.413975199122718e-40, 'backward_avg_action_prob_eval': 0.07799784021586229, 'backward_avg_action_prob_test': 0.07799784021586231, 'backward_policy_entropy_eval': 3.1438028903946043, 'backward_policy_entropy_test': 3.1438028903946047, 'batch_size': 16, 'clip_scale_avg_interval': 0.9984252166346412, 'clip_trigger_rate_interval': 0.04081632653061224, 'corr_num_rounds': 10, 'dropout': 0.1, 'entropy_coeff': 1, 'eval_every': 50, 'eval_interval_sec': 157.5331165790558, 'exp_weight_sched': 'linear', 'exp_weight_warm_frac': 0, 'forward_avg_action_prob_eval': 0.019751163859230775, 'forward_avg_action_prob_test': 0.01995672999124508, 'forward_policy_entropy_eval': 4.435715234279632, 'forward_policy_entropy_test': 4.525850243970752, 'grad_clip_norm': 2, 'k': 2, 'learning_rate': 0.002, 'log_Z': 0, 'loss': 0.3654243350028992, 'mean_R_all_unique': 2.9799478399841837e-32, 'mean_top_1000_R': 2.3838085055782514e-29, 'mean_top_100_R': 2.3791990326372928e-28, 'mode_threshold': 30, 'model_seed': 0, 'modes': 2, 'n': 120, 'n_test_steps': 1000, 'num_iterations': 50000, 'objective': 'db', 'pearson_corr_test': -0.08662936590273956, 'rand_action_prob': 0.0010199800000000314, 'rand_action_prob_final': 0.001, 'reward_exponent': 2, 'sampling_seed': 0, 'spearman_corr_test': -0.04472621730432374, 'step': 49999, 'steps_to_update_sampling_model': 1, 'subtb_lambda': 1.9, 'unique_samples_eval': 800000, 'use_alpha_scheduler': True, 'use_exp_weight_decay': True, 'z_learning_rate': 0.001}",{},k(2)_ms(0)_ss(0)_m(db)_a(0.6)
8,"{'M_size': 60, '_runtime': 39396.559187404, '_step': 49999, '_test_tokens': {'_type': 'histogram'}, '_timestamp': 1756874389.3091788, 'alpha': 0.4963354170322418, 'alpha_init': 0.3, 'alpha_sched': 'hold_exp', 'alpha_warm_frac': 0.8, 'avg_current_reward_eval': 2.9164269583362894e-39, 'backward_avg_action_prob_eval': 0.1798869828571841, 'backward_avg_action_prob_test': 0.17988698285718407, 'backward_policy_entropy_eval': 2.1167808230378538, 'backward_policy_entropy_test': 2.116780823037854, 'batch_size': 16, 'clip_scale_avg_interval': 0.48715426790996097, 'clip_trigger_rate_interval': 1, 'corr_num_rounds': 10, 'dropout': 0.1, 'entropy_coeff': 1, 'eval_every': 50, 'eval_interval_sec': 64.08305740356445, 'exp_weight_sched': 'linear', 'exp_weight_warm_frac': 0, 'forward_avg_action_prob_eval': 0.0029886400036048142, 'forward_avg_action_prob_test': 0.0032743471913709073, 'forward_policy_entropy_eval': 5.894656038284301, 'forward_policy_entropy_test': 6.24980147075653, 'grad_clip_norm': 2, 'k': 6, 'learning_rate': 0.002, 'log_Z': 0, 'loss': 2.2000133991241455, 'mean_R_all_unique': 1.0862856960835262e-31, 'mean_top_1000_R': 8.689108669188143e-29, 'mean_top_100_R': 8.648242492919197e-28, 'mode_threshold': 30, 'model_seed': 0, 'modes': 2, 'n': 120, 'n_test_steps': 1000, 'num_iterations': 50000, 'objective': 'db', 'pearson_corr_test': 0.5901246788905976, 'rand_action_prob': 0.0010199800000000314, 'rand_action_prob_final': 0.001, 'reward_exponent': 2, 'sampling_seed': 2, 'spearman_corr_test': 0.5496819859983475, 'step': 49999, 'steps_to_update_sampling_model': 1, 'subtb_lambda': 1.9, 'unique_samples_eval': 800000, 'use_alpha_scheduler': True, 'use_exp_weight_decay': True, 'z_learning_rate': 0.001}",{},k(6)_ms(0)_ss(2)_m(db)_a(0.3)
9,"{'M_size': 60, '_runtime': 85762.644160425, '_step': 49999, '_test_tokens': {'_type': 'histogram'}, '_timestamp': 1756954038.2458503, 'alpha': 0.5, 'alpha_init': 0.5, 'alpha_sched': 'hold_exp', 'alpha_warm_frac': 0.8, 'avg_current_reward_eval': 2.400363047736127e-38, 'backward_avg_action_prob_eval': 0.07799784021586229, 'backward_avg_action_prob_test': 0.07799784021586231, 'backward_policy_entropy_eval': 3.1438028903946043, 'backward_policy_entropy_test': 3.1438028903946047, 'batch_size': 16, 'clip_scale_avg_interval': 0.9800078713306614, 'clip_trigger_rate_interval': 0.1020408163265306, 'corr_num_rounds': 10, 'dropout': 0.1, 'entropy_coeff': 1, 'eval_every': 50, 'eval_interval_sec': 136.81194376945496, 'exp_weight_sched': 'linear', 'exp_weight_warm_frac': 0, 'forward_avg_action_prob_eval': 0.019704162748530506, 'forward_avg_action_prob_test': 0.02030001567073244, 'forward_policy_entropy_eval': 4.435737454891205, 'forward_policy_entropy_test': 4.5262086895058555, 'grad_clip_norm': 2, 'k': 2, 'learning_rate': 0.002, 'log_Z': 0, 'loss': 0.2765690088272095, 'mean_R_all_unique': 2.787496909579233e-32, 'mean_top_1000_R': 2.2298623496551326e-29, 'mean_top_100_R': 2.226573013532874e-28, 'mode_threshold': 30, 'model_seed': 0, 'modes': 2, 'n': 120, 'n_test_steps': 1000, 'num_iterations': 50000, 'objective': 'db', 'pearson_corr_test': 0.5110563624495296, 'rand_action_prob': 0.0010199800000000314, 'rand_action_prob_final': 0.001, 'reward_exponent': 2, 'sampling_seed': 3, 'spearman_corr_test': 0.4586743227145572, 'step': 49999, 'steps_to_update_sampling_model': 1, 'subtb_lambda': 1.9, 'unique_samples_eval': 800000, 'use_alpha_scheduler': True, 'use_exp_weight_decay': True, 'z_learning_rate': 0.001}",{},k(2)_ms(0)_ss(3)_m(db)_a(0.5)
