benchmark,variant,method,fl,size,alpha,seed,modes,spearman,run_name
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.6,3,177.0,0.863899643899644,ss(3)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.6)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.3,1,8.0,0.93604106684919,ss(1)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.3)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.5,1,263.0,0.8714529700673291,ss(1)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.5)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.9,4,0.0,0.5530726543910903,ss(4)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.9)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.1,0,0.0,0.9188028390720644,ss(0)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.1)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.3,2,9.0,0.924366041912238,ss(2)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.3)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.7,3,3503.0,0.8374365804612001,ss(3)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.7)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.8,3,32.0,0.6995497316483809,ss(3)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.8)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.6,2,746.0,0.8859473826052248,ss(2)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.6)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.4,2,9.0,0.913010733749766,ss(2)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.4)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.2,0,0.0,0.9650046707946988,ss(0)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.2)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.1,3,0.0,0.9187487587487588,ss(3)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.1)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.1,1,0.0,0.9506532535052132,ss(1)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.1)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.9,2,5.0,0.4930819885612346,ss(2)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.9)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.8,4,2.0,0.6441061281061281,ss(4)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.8)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.7,2,173.0,0.8038119982234342,ss(2)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.7)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.8,2,51.0,0.6201133521133522,ss(2)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.8)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.7,1,682.0,0.7741049221049221,ss(1)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.7)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.6,1,410.0,0.917880758141685,ss(1)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.6)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.9,0,338.0,0.5492148812148813,ss(0)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.9)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.7,4,0.0,0.7996851040841596,ss(4)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.7)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.1,4,0.0,0.9315241875241876,ss(4)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.1)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.4,3,9.0,0.9136403563812776,ss(3)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.4)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.2,4,1.0,0.9693714390038964,ss(4)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.2)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.4,4,35.0,0.9223481383481384,ss(4)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.4)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.6,0,513.0,0.8322826002826004,ss(0)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.6)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.7,0,415.0,0.8260903900903902,ss(0)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.7)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.2,2,0.0,0.8944125750958128,ss(2)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.2)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.2,1,0.0,0.9536973505584428,ss(1)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.2)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.5,2,46.0,0.9127204927204928,ss(2)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.5)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.4,0,26.0,0.942467228949434,ss(0)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.4)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.6,4,126.0,0.8667292913294793,ss(4)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.6)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.4,1,2.0,0.8829495062472034,ss(1)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.4)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.5,4,115.0,0.9098574753166202,ss(4)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.5)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.9,3,11.0,0.5337140577140577,ss(3)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.9)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.8,0,684.0,0.6695261015261016,ss(0)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.8)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.3,4,4.0,0.959503856382368,ss(4)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.3)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.1,2,0.0,0.9450745464154412,ss(2)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.1)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.3,0,3.0,0.9512999758616756,ss(0)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.3)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.8,1,375.0,0.6509817769347223,ss(1)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.8)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.2,3,0.0,0.9544443690343684,ss(3)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.2)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.5,0,97.0,0.8713223593223595,ss(0)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.5)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.9,1,369.0,0.5694747491831734,ss(1)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.9)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.3,3,1.0,0.9077720652186976,ss(3)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.3)
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.5,3,72.0,0.939057896692244,ss(3)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(fl_subtb_gfn)_a(0.5)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.9,3,0.0,0.8964484032057841,ss(3)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.9)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.2,4,0.0,0.9281502632880664,ss(4)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.2)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.7,4,0.0,0.9287386898835542,ss(4)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.7)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.5,3,0.0,0.950236357639194,ss(3)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.5)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.9,1,0.0,0.9154562909490288,ss(1)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.9)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.8,2,0.0,0.9202578050185783,ss(2)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.8)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.3,2,0.0,0.9372094812094814,ss(2)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.3)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.5,2,0.0,0.953696486557576,ss(2)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.5)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.1,4,0.0,0.8778572891244328,ss(4)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.1)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.3,1,0.0,0.9031721174292158,ss(1)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.3)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.2,1,0.0,0.9728398957584156,ss(1)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.2)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.2,2,0.0,0.9561874516617012,ss(2)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.2)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.6,0,0.0,0.9485813431185752,ss(0)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.6)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.5,0,0.0,0.941184550831658,ss(0)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.5)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.7,3,0.0,0.9130273827227936,ss(3)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.7)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.8,3,10.0,0.922992079299008,ss(3)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.8)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.8,0,0.0,0.9140320602583488,ss(0)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.8)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.4,0,0.0,0.9220628938938372,ss(0)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.4)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.3,0,0.0,0.9395741068489962,ss(0)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.3)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.7,1,0.0,0.9420168660168662,ss(1)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.7)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.2,0,0.0,0.9256806256806256,ss(0)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.2)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.1,2,0.0,0.9610607554766668,ss(2)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.1)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.6,2,0.0,0.8772324244958191,ss(2)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.6)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.1,1,0.0,0.9576369391285824,ss(1)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.1)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.4,4,0.0,0.909968907428721,ss(4)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.4)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.6,3,0.0,0.949202844898062,ss(3)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.6)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.8,1,0.0,0.8892963453000123,ss(1)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.8)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.5,4,0.0,0.9345125441196194,ss(4)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.5)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.6,4,0.0,0.9060801687984094,ss(4)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.6)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.6,1,0.0,0.921556772615454,ss(1)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.6)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.3,3,0.0,0.953282489002184,ss(3)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.3)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.9,0,0.0,0.9390811978984416,ss(0)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.9)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.7,2,0.0,0.9230946134024648,ss(2)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.7)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.1,3,0.0,0.924519510066627,ss(3)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.1)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.5,1,0.0,0.938774327223296,ss(1)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.5)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.3,4,0.0,0.846888762888763,ss(4)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.3)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.1,0,0.0,0.9243522142174976,ss(0)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.1)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.4,3,0.0,0.9257703133249352,ss(3)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.4)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.4,1,0.0,0.9336187084195644,ss(1)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.4)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.2,3,0.0,0.8566124908918409,ss(3)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.2)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.8,4,0.0,0.9350340014493076,ss(4)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.8)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.9,4,0.0,0.9197335120111138,ss(4)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.9)
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.7,0,0.0,0.9025516159669256,ss(0)_ms(0)_md(on)_mdfr(0)_upb(1)_sz(large)_m(subtb_gfn)_a(0.7)
