benchmark,variant,method,fl,size,alpha,n_runs,modes_mean,modes_std,modes_min,modes_max,spearman_mean,spearman_std,spearman_min,spearman_max
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.100000,5,0.000000,0.000000,0.000000,0.000000,0.929085,0.033560,0.877857,0.961061
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.200000,5,0.000000,0.000000,0.000000,0.000000,0.927894,0.044460,0.856612,0.972840
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.300000,5,0.000000,0.000000,0.000000,0.000000,0.916025,0.042827,0.846889,0.953282
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.400000,5,0.000000,0.000000,0.000000,0.000000,0.924472,0.009264,0.909969,0.933619
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.500000,5,0.000000,0.000000,0.000000,0.000000,0.943681,0.008026,0.934513,0.953696
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.600000,5,0.000000,0.000000,0.000000,0.000000,0.920531,0.030387,0.877232,0.949203
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.700000,5,0.000000,0.000000,0.000000,0.000000,0.921886,0.015050,0.902552,0.942017
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.800000,5,2.000000,4.472136,0.000000,10.000000,0.916322,0.016924,0.889296,0.935034
1-set,subtb_gfn_fl0,subtb_gfn,False,large,0.900000,5,0.000000,0.000000,0.000000,0.000000,0.917707,0.015149,0.896448,0.939081
1-set,subtb_gfn_fl0,subtb_gfn,False,medium,0.100000,5,0.000000,0.000000,0.000000,0.000000,0.974277,0.008917,0.960286,0.981472
1-set,subtb_gfn_fl0,subtb_gfn,False,medium,0.200000,5,0.000000,0.000000,0.000000,0.000000,0.979274,0.007658,0.967709,0.986947
1-set,subtb_gfn_fl0,subtb_gfn,False,medium,0.300000,5,0.000000,0.000000,0.000000,0.000000,0.973081,0.008259,0.962671,0.981377
1-set,subtb_gfn_fl0,subtb_gfn,False,medium,0.400000,5,0.000000,0.000000,0.000000,0.000000,0.968978,0.014928,0.951624,0.981929
1-set,subtb_gfn_fl0,subtb_gfn,False,medium,0.500000,5,0.000000,0.000000,0.000000,0.000000,0.967823,0.006930,0.958732,0.977568
1-set,subtb_gfn_fl0,subtb_gfn,False,medium,0.600000,5,0.400000,0.894427,0.000000,2.000000,0.950375,0.015092,0.925453,0.962320
1-set,subtb_gfn_fl0,subtb_gfn,False,medium,0.700000,5,0.200000,0.447214,0.000000,1.000000,0.947836,0.010108,0.934853,0.962265
1-set,subtb_gfn_fl0,subtb_gfn,False,medium,0.800000,5,1.400000,1.140175,0.000000,3.000000,0.964389,0.014880,0.938466,0.976328
1-set,subtb_gfn_fl0,subtb_gfn,False,medium,0.900000,5,5.200000,6.760178,0.000000,14.000000,0.955813,0.013034,0.934723,0.970076
1-set,subtb_gfn_fl0,subtb_gfn,False,small,0.100000,5,22.200000,1.643168,20.000000,24.000000,0.988671,0.005788,0.978536,0.992392
1-set,subtb_gfn_fl0,subtb_gfn,False,small,0.200000,5,22.400000,4.393177,19.000000,30.000000,0.990593,0.003143,0.986367,0.993637
1-set,subtb_gfn_fl0,subtb_gfn,False,small,0.300000,5,21.600000,3.847077,17.000000,25.000000,0.993524,0.001268,0.991282,0.994390
1-set,subtb_gfn_fl0,subtb_gfn,False,small,0.400000,5,19.600000,3.209361,17.000000,25.000000,0.994273,0.004975,0.985392,0.996891
1-set,subtb_gfn_fl0,subtb_gfn,False,small,0.500000,5,20.000000,4.062019,13.000000,23.000000,0.991776,0.004937,0.983059,0.994691
1-set,subtb_gfn_fl0,subtb_gfn,False,small,0.600000,5,27.400000,3.507136,24.000000,33.000000,0.996704,0.002219,0.992819,0.998290
1-set,subtb_gfn_fl0,subtb_gfn,False,small,0.700000,5,30.600000,7.635444,24.000000,43.000000,0.997132,0.000460,0.996661,0.997631
1-set,subtb_gfn_fl0,subtb_gfn,False,small,0.800000,5,34.200000,8.074652,28.000000,44.000000,0.996759,0.000989,0.995894,0.998296
1-set,subtb_gfn_fl0,subtb_gfn,False,small,0.900000,5,32.000000,10.977249,19.000000,49.000000,0.996982,0.000574,0.996226,0.997449
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.100000,5,0.000000,0.000000,0.000000,0.000000,0.932961,0.014699,0.918749,0.950653
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.200000,5,0.200000,0.447214,0.000000,1.000000,0.947386,0.030371,0.894413,0.969371
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.300000,5,5.000000,3.391165,1.000000,9.000000,0.935797,0.020727,0.907772,0.959504
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.400000,5,16.200000,13.736812,2.000000,35.000000,0.914883,0.021456,0.882950,0.942467
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.500000,5,118.600000,84.813324,46.000000,263.000000,0.900882,0.029232,0.871322,0.939058
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.600000,5,394.400000,253.590812,126.000000,746.000000,0.873348,0.031470,0.832283,0.917881
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.700000,5,954.600000,1447.582571,0.000000,3503.000000,0.808226,0.024643,0.774105,0.837437
1-set,subtb_gfn_fl1,subtb_gfn,True,large,0.800000,5,228.800000,295.957260,2.000000,684.000000,0.656855,0.029708,0.620113,0.699550
