objective,k,metric,best_alpha,best_value_mean±std,is_baseline_alpha_0.5
DB,2,Modes (higher better),0.9,2.60±2.07,No
DB,2,Spearman (lower better),0.5,0.318±0.432,Yes
DB,4,Modes (higher better),0.6,13.00±6.36,No
DB,4,Spearman (lower better),0.6,0.575±0.001,No
DB,6,Modes (higher better),0.8,5.20±1.30,No
DB,6,Spearman (lower better),0.5,0.553±0.012,Yes
DB,8,Modes (higher better),0.9,44.40±3.78,No
DB,8,Spearman (lower better),0.5,0.793±0.004,Yes
DB,10,Modes (higher better),0.6,8.20±2.39,No
DB,10,Spearman (lower better),0.5,0.569±0.005,Yes
FL-DB,2,Modes (higher better),0.1,60.00±0.00,No
FL-DB,2,Spearman (lower better),0.1,0.624±0.003,No
FL-DB,4,Modes (higher better),0.8,59.20±0.45,No
FL-DB,4,Spearman (lower better),0.8,0.564±0.001,No
FL-DB,6,Modes (higher better),0.1,32.00±4.06,No
FL-DB,6,Spearman (lower better),0.1,0.546±0.002,No
FL-DB,8,Modes (higher better),0.2,60.00±0.00,No
FL-DB,8,Spearman (lower better),0.5,0.727±0.006,Yes
FL-DB,10,Modes (higher better),0.2,23.40±0.55,No
FL-DB,10,Spearman (lower better),0.5,0.567±0.001,Yes
SubTB(lambda),2,Modes (higher better),0.5,22.80±13.27,Yes
SubTB(lambda),2,Spearman (lower better),0.5,0.473±0.065,Yes
SubTB(lambda),4,Modes (higher better),0.2,40.40±2.97,No
SubTB(lambda),4,Spearman (lower better),0.5,0.578±0.001,Yes
SubTB(lambda),6,Modes (higher better),0.1,22.20±7.33,No
SubTB(lambda),6,Spearman (lower better),0.5,0.554±0.001,Yes
SubTB(lambda),8,Modes (higher better),0.2,58.60±0.89,No
SubTB(lambda),8,Spearman (lower better),0.2,0.810±0.002,No
SubTB(lambda),10,Modes (higher better),0.2,21.60±3.05,No
SubTB(lambda),10,Spearman (lower better),0.2,0.566±0.001,No
FL-SubTB(lambda),2,Modes (higher better),0.2,59.80±0.45,No
FL-SubTB(lambda),2,Spearman (lower better),0.5,0.476±0.070,Yes
FL-SubTB(lambda),4,Modes (higher better),0.6,59.40±0.55,No
FL-SubTB(lambda),4,Spearman (lower better),0.5,0.572±0.002,Yes
FL-SubTB(lambda),6,Modes (higher better),0.5,48.20±2.39,Yes
FL-SubTB(lambda),6,Spearman (lower better),0.5,0.555±0.002,Yes
FL-SubTB(lambda),8,Modes (higher better),0.1,60.00±0.00,No
FL-SubTB(lambda),8,Spearman (lower better),0.5,0.764±0.009,Yes
FL-SubTB(lambda),10,Modes (higher better),0.4,37.40±2.79,No
FL-SubTB(lambda),10,Spearman (lower better),0.4,0.569±0.001,No
TB,2,Modes (higher better),0.9,16.80±3.77,No
TB,2,Spearman (lower better),0.5,0.469±0.168,Yes
TB,4,Modes (higher better),0.8,41.80±5.07,No
TB,4,Spearman (lower better),0.8,0.578±0.001,No
TB,6,Modes (higher better),0.8,23.40±3.71,No
TB,6,Spearman (lower better),0.5,0.556±0.002,Yes
TB,8,Modes (higher better),0.1,59.00±0.00,No
TB,8,Spearman (lower better),0.1,0.813±0.004,No
TB,10,Modes (higher better),0.5,24.40±3.36,Yes
TB,10,Spearman (lower better),0.4,0.566±0.002,No
