name,id,state,created_at,project,entity,config,summary
clear-mountain-3,06tl7mhq,finished,2026-03-27T05:48:52Z,PBP-Alpha-Diversity-0327,1969773923-shanghai-jiao-tong-university,"{""opt"": ""adam"", ""seed"": 0, ""alpha"": 0.3, ""method"": ""PBP_TB"", ""epsilon"": null, ""variant"": ""TBVariant.TB"", ""adam_eps"": 1e-08, ""lr_decay"": 20000, ""momentum"": 0.9, ""cum_subtb"": true, ""Z_lr_decay"": 50000, ""model_seed"": 0, ""alpha_final"": 0.5, ""alpha_sched"": ""hold_exp"", ""dist_params"": [64, 64], ""sample_dist"": ""constant"", ""do_predict_n"": false, ""weight_decay"": 1e-08, ""do_sample_p_b"": true, ""learning_rate"": 0.0001, ""sampling_seed"": 2, ""subtb_max_len"": 128, ""clip_grad_type"": ""norm"", ""Z_learning_rate"": 0.001, ""alpha_warm_frac"": 0.8, ""backward_policy"": ""Backward.Free"", ""clip_grad_param"": 10, ""do_length_normalize"": false, ""do_parameterize_p_b"": true, ""num_thermometer_dim"": 32, ""use_alpha_scheduler"": true, ""bootstrap_own_reward"": false, ""do_correct_idempotent"": false, ""reward_loss_multiplier"": 1}","{""Var-true"": 212.6295928955078, ""_runtime"": 13931.603262424467, ""_step"": 4999, ""_timestamp"": 1774557741.4971974, ""_wandb"": {""runtime"": 13941}, ""all_num_modes"": 8701, ""alpha"": 0.4963221848011017, ""entropy"": 70.73993682861328, ""grad_norm"": 134.42723083496094, ""grad_norm_clip"": 52.46427536010742, ""invalid_logprob"": 0, ""invalid_losses"": 0, ""invalid_trajectories"": 0, ""iteration"": 5000, ""length"": 27, ""logZ"": 33.82648468017578, ""loss"": 10.462990760803224, ""offline_loss"": 0, ""online_loss"": 10.462990760803224, ""onpolicy_mode_tanimoto_diversity"": 0.273091190681451, ""onpolicy_num_modes"": 3, ""onpolicy_tanimoto_diversity"": 0.24534174295764796, ""paper_num_modes"": 0, ""paper_num_modes_frac"": 0, ""paper_onpolicy_num_modes"": 0, ""random_action_prob"": 0.0005, ""reward_loss"": 0, ""sampled_reward_avg"": 0.9255796670913696, ""time_spent"": 2.4400835037231445, ""top1000_tanimoto_diversity"": 0.247069844530783, ""top100_tanimoto_diversity"": 0.24373399684446215, ""train_time"": 0.2680647373199463, ""unique_valid_smiles_seen"": 319751}"
efficient-thunder-3,20t8q7oc,finished,2026-03-27T05:48:52Z,PBP-Alpha-Diversity-0327,1969773923-shanghai-jiao-tong-university,"{""opt"": ""adam"", ""seed"": 0, ""alpha"": 0.1, ""method"": ""PBP_TB"", ""epsilon"": null, ""variant"": ""TBVariant.TB"", ""adam_eps"": 1e-08, ""lr_decay"": 20000, ""momentum"": 0.9, ""cum_subtb"": true, ""Z_lr_decay"": 50000, ""model_seed"": 0, ""alpha_final"": 0.5, ""alpha_sched"": ""hold_exp"", ""dist_params"": [64, 64], ""sample_dist"": ""constant"", ""do_predict_n"": false, ""weight_decay"": 1e-08, ""do_sample_p_b"": true, ""learning_rate"": 0.0001, ""sampling_seed"": 1, ""subtb_max_len"": 128, ""clip_grad_type"": ""norm"", ""Z_learning_rate"": 0.001, ""alpha_warm_frac"": 0.8, ""backward_policy"": ""Backward.Free"", ""clip_grad_param"": 10, ""do_length_normalize"": false, ""do_parameterize_p_b"": true, ""num_thermometer_dim"": 32, ""use_alpha_scheduler"": true, ""bootstrap_own_reward"": false, ""do_correct_idempotent"": false, ""reward_loss_multiplier"": 1}","{""Var-true"": 844.8487548828125, ""_runtime"": 12637.82344698906, ""_step"": 4999, ""_timestamp"": 1774556419.487083, ""_wandb"": {""runtime"": 12645}, ""all_num_modes"": 9266, ""alpha"": 0.49264436960220337, ""entropy"": 72.88690185546875, ""grad_norm"": 167.9908905029297, ""grad_norm_clip"": 55.796478271484375, ""invalid_logprob"": 0, ""invalid_losses"": 0, ""invalid_trajectories"": 0, ""iteration"": 5000, ""length"": 27, ""logZ"": 34.04901885986328, ""loss"": 13.538930892944336, ""offline_loss"": 0, ""online_loss"": 13.538930892944336, ""onpolicy_mode_tanimoto_diversity"": ""NaN"", ""onpolicy_num_modes"": 1, ""onpolicy_tanimoto_diversity"": 0.2344290241996707, ""paper_num_modes"": 0, ""paper_num_modes_frac"": 0, ""paper_onpolicy_num_modes"": 0, ""random_action_prob"": 0.0005, ""reward_loss"": 0, ""sampled_reward_avg"": 0.9068505764007568, ""time_spent"": 2.0122768878936768, ""top1000_tanimoto_diversity"": 0.2473874807462286, ""top100_tanimoto_diversity"": 0.23612888954944833, ""train_time"": 0.2066023349761963, ""unique_valid_smiles_seen"": 319625}"
lively-lion-4,2jk0tm1k,finished,2026-03-27T05:48:52Z,PBP-Alpha-Diversity-0327,1969773923-shanghai-jiao-tong-university,"{""opt"": ""adam"", ""seed"": 0, ""alpha"": 0.6, ""method"": ""PBP_TB"", ""epsilon"": null, ""variant"": ""TBVariant.TB"", ""adam_eps"": 1e-08, ""lr_decay"": 20000, ""momentum"": 0.9, ""cum_subtb"": true, ""Z_lr_decay"": 50000, ""model_seed"": 0, ""alpha_final"": 0.5, ""alpha_sched"": ""hold_exp"", ""dist_params"": [64, 64], ""sample_dist"": ""constant"", ""do_predict_n"": false, ""weight_decay"": 1e-08, ""do_sample_p_b"": true, ""learning_rate"": 0.0001, ""sampling_seed"": 1, ""subtb_max_len"": 128, ""clip_grad_type"": ""norm"", ""Z_learning_rate"": 0.001, ""alpha_warm_frac"": 0.8, ""backward_policy"": ""Backward.Free"", ""clip_grad_param"": 10, ""do_length_normalize"": false, ""do_parameterize_p_b"": true, ""num_thermometer_dim"": 32, ""use_alpha_scheduler"": true, ""bootstrap_own_reward"": false, ""do_correct_idempotent"": false, ""reward_loss_multiplier"": 1}","{""Var-true"": 1487569.75, ""_runtime"": 12305.474644184113, ""_step"": 4999, ""_timestamp"": 1774556087.2761042, ""_wandb"": {""runtime"": 12312}, ""all_num_modes"": 8206, ""alpha"": 0.5018389225006104, ""entropy"": 64.2110595703125, ""grad_norm"": 1116.6256103515625, ""grad_norm_clip"": 77.76665496826172, ""invalid_logprob"": 0, ""invalid_losses"": 0, ""invalid_trajectories"": 0, ""iteration"": 5000, ""length"": 27, ""logZ"": 29.285926818847656, ""loss"": 164.52708435058594, ""offline_loss"": 0, ""online_loss"": 164.52708435058594, ""onpolicy_mode_tanimoto_diversity"": ""NaN"", ""onpolicy_num_modes"": 1, ""onpolicy_tanimoto_diversity"": 0.2511572367725148, ""paper_num_modes"": 0, ""paper_num_modes_frac"": 0, ""paper_onpolicy_num_modes"": 0, ""random_action_prob"": 0.0005, ""reward_loss"": 0, ""sampled_reward_avg"": 0.90128755569458, ""time_spent"": 1.6813111305236816, ""top1000_tanimoto_diversity"": 0.2648194187460173, ""top100_tanimoto_diversity"": 0.2615456355264264, ""train_time"": 0.2026219367980957, ""unique_valid_smiles_seen"": 313026}"
azure-yogurt-4,2moq9rl5,finished,2026-03-27T05:48:52Z,PBP-Alpha-Diversity-0327,1969773923-shanghai-jiao-tong-university,"{""opt"": ""adam"", ""seed"": 0, ""alpha"": 0.5, ""method"": ""PBP_TB"", ""epsilon"": null, ""variant"": ""TBVariant.TB"", ""adam_eps"": 1e-08, ""lr_decay"": 20000, ""momentum"": 0.9, ""cum_subtb"": true, ""Z_lr_decay"": 50000, ""model_seed"": 0, ""alpha_final"": 0.5, ""alpha_sched"": ""hold_exp"", ""dist_params"": [64, 64], ""sample_dist"": ""constant"", ""do_predict_n"": false, ""weight_decay"": 1e-08, ""do_sample_p_b"": true, ""learning_rate"": 0.0001, ""sampling_seed"": 0, ""subtb_max_len"": 128, ""clip_grad_type"": ""norm"", ""Z_learning_rate"": 0.001, ""alpha_warm_frac"": 0.8, ""backward_policy"": ""Backward.Free"", ""clip_grad_param"": 10, ""do_length_normalize"": false, ""do_parameterize_p_b"": true, ""num_thermometer_dim"": 32, ""use_alpha_scheduler"": true, ""bootstrap_own_reward"": false, ""do_correct_idempotent"": false, ""reward_loss_multiplier"": 1}","{""Var-true"": 1253.9073486328125, ""_runtime"": 14448.011251211166, ""_step"": 4999, ""_timestamp"": 1774558218.6383412, ""_wandb"": {""runtime"": 14455}, ""all_num_modes"": 7896, ""alpha"": 0.5, ""entropy"": 72.27884674072266, ""grad_norm"": 132.68753051757812, ""grad_norm_clip"": 53.565643310546875, ""invalid_logprob"": 0, ""invalid_losses"": 0, ""invalid_trajectories"": 0, ""iteration"": 5000, ""length"": 27, ""logZ"": 32.617820739746094, ""loss"": 16.721664428710938, ""offline_loss"": 0, ""online_loss"": 16.721664428710938, ""onpolicy_mode_tanimoto_diversity"": 0.2211155378486056, ""onpolicy_num_modes"": 2, ""onpolicy_tanimoto_diversity"": 0.23902831215810735, ""paper_num_modes"": 0, ""paper_num_modes_frac"": 0, ""paper_onpolicy_num_modes"": 0, ""random_action_prob"": 0.0005, ""reward_loss"": 0, ""sampled_reward_avg"": 0.8970452547073364, ""time_spent"": 2.000755071640014, ""top1000_tanimoto_diversity"": 0.25611020453972344, ""top100_tanimoto_diversity"": 0.25186565645207554, ""train_time"": 0.20551300048828125, ""unique_valid_smiles_seen"": 316609}"
trim-serenity-1,4j8apgsf,finished,2026-03-27T05:48:52Z,PBP-Alpha-Diversity-0327,1969773923-shanghai-jiao-tong-university,"{""opt"": ""adam"", ""seed"": 0, ""alpha"": 0.5, ""method"": ""PBP_TB"", ""epsilon"": null, ""variant"": ""TBVariant.TB"", ""adam_eps"": 1e-08, ""lr_decay"": 20000, ""momentum"": 0.9, ""cum_subtb"": true, ""Z_lr_decay"": 50000, ""model_seed"": 0, ""alpha_final"": 0.5, ""alpha_sched"": ""hold_exp"", ""dist_params"": [64, 64], ""sample_dist"": ""constant"", ""do_predict_n"": false, ""weight_decay"": 1e-08, ""do_sample_p_b"": true, ""learning_rate"": 0.0001, ""sampling_seed"": 2, ""subtb_max_len"": 128, ""clip_grad_type"": ""norm"", ""Z_learning_rate"": 0.001, ""alpha_warm_frac"": 0.8, ""backward_policy"": ""Backward.Free"", ""clip_grad_param"": 10, ""do_length_normalize"": false, ""do_parameterize_p_b"": true, ""num_thermometer_dim"": 32, ""use_alpha_scheduler"": true, ""bootstrap_own_reward"": false, ""do_correct_idempotent"": false, ""reward_loss_multiplier"": 1}","{""Var-true"": 462.6856384277344, ""_runtime"": 12525.264657258987, ""_step"": 4999, ""_timestamp"": 1774556306.8910382, ""_wandb"": {""runtime"": 12533}, ""all_num_modes"": 8421, ""alpha"": 0.5, ""entropy"": 71.58073425292969, ""grad_norm"": 173.6366729736328, ""grad_norm_clip"": 59.021053314208984, ""invalid_logprob"": 0, ""invalid_losses"": 0, ""invalid_trajectories"": 0, ""iteration"": 5000, ""length"": 27, ""logZ"": 33.17446517944336, ""loss"": 14.781314849853516, ""offline_loss"": 0, ""online_loss"": 14.781314849853516, ""onpolicy_mode_tanimoto_diversity"": ""NaN"", ""onpolicy_num_modes"": 1, ""onpolicy_tanimoto_diversity"": 0.23217460250166672, ""paper_num_modes"": 0, ""paper_num_modes_frac"": 0, ""paper_onpolicy_num_modes"": 0, ""random_action_prob"": 0.0005, ""reward_loss"": 0, ""sampled_reward_avg"": 0.9158679246902466, ""time_spent"": 1.674793004989624, ""top1000_tanimoto_diversity"": 0.25099098470156755, ""top100_tanimoto_diversity"": 0.2473419647603568, ""train_time"": 0.19868230819702148, ""unique_valid_smiles_seen"": 318923}"
worthy-darkness-17,8a8mpagw,finished,2026-03-27T05:48:52Z,PBP-Alpha-Diversity-0327,1969773923-shanghai-jiao-tong-university,"{""opt"": ""adam"", ""seed"": 0, ""alpha"": 0.3, ""method"": ""PBP_TB"", ""epsilon"": null, ""variant"": ""TBVariant.TB"", ""adam_eps"": 1e-08, ""lr_decay"": 20000, ""momentum"": 0.9, ""cum_subtb"": true, ""Z_lr_decay"": 50000, ""model_seed"": 0, ""alpha_final"": 0.5, ""alpha_sched"": ""hold_exp"", ""dist_params"": [64, 64], ""sample_dist"": ""constant"", ""do_predict_n"": false, ""weight_decay"": 1e-08, ""do_sample_p_b"": true, ""learning_rate"": 0.0001, ""sampling_seed"": 1, ""subtb_max_len"": 128, ""clip_grad_type"": ""norm"", ""Z_learning_rate"": 0.001, ""alpha_warm_frac"": 0.8, ""backward_policy"": ""Backward.Free"", ""clip_grad_param"": 10, ""do_length_normalize"": false, ""do_parameterize_p_b"": true, ""num_thermometer_dim"": 32, ""use_alpha_scheduler"": true, ""bootstrap_own_reward"": false, ""do_correct_idempotent"": false, ""reward_loss_multiplier"": 1}","{""Var-true"": 5593.38037109375, ""_runtime"": 12282.45429301262, ""_step"": 4999, ""_timestamp"": 1774556064.1065211, ""_wandb"": {""runtime"": 12294}, ""all_num_modes"": 8797, ""alpha"": 0.4963221848011017, ""entropy"": 73.20310974121094, ""grad_norm"": 176.8573455810547, ""grad_norm_clip"": 58.36000061035156, ""invalid_logprob"": 0, ""invalid_losses"": 0, ""invalid_trajectories"": 0, ""iteration"": 5000, ""length"": 27, ""logZ"": 33.781455993652344, ""loss"": 22.27526092529297, ""offline_loss"": 0, ""online_loss"": 22.27526092529297, ""onpolicy_mode_tanimoto_diversity"": ""NaN"", ""onpolicy_num_modes"": 1, ""onpolicy_tanimoto_diversity"": 0.2404597933902014, ""paper_num_modes"": 0, ""paper_num_modes_frac"": 0, ""paper_onpolicy_num_modes"": 0, ""random_action_prob"": 0.0005, ""reward_loss"": 0, ""sampled_reward_avg"": 0.9021193385124208, ""time_spent"": 2.0404069423675537, ""top1000_tanimoto_diversity"": 0.24755301305044383, ""top100_tanimoto_diversity"": 0.23815800124228387, ""train_time"": 0.2604506015777588, ""unique_valid_smiles_seen"": 319715}"
eager-grass-14,9oa6yhuh,finished,2026-03-27T05:48:52Z,PBP-Alpha-Diversity-0327,1969773923-shanghai-jiao-tong-university,"{""opt"": ""adam"", ""seed"": 0, ""alpha"": 0.4, ""method"": ""PBP_TB"", ""epsilon"": null, ""variant"": ""TBVariant.TB"", ""adam_eps"": 1e-08, ""lr_decay"": 20000, ""momentum"": 0.9, ""cum_subtb"": true, ""Z_lr_decay"": 50000, ""model_seed"": 0, ""alpha_final"": 0.5, ""alpha_sched"": ""hold_exp"", ""dist_params"": [64, 64], ""sample_dist"": ""constant"", ""do_predict_n"": false, ""weight_decay"": 1e-08, ""do_sample_p_b"": true, ""learning_rate"": 0.0001, ""sampling_seed"": 0, ""subtb_max_len"": 128, ""clip_grad_type"": ""norm"", ""Z_learning_rate"": 0.001, ""alpha_warm_frac"": 0.8, ""backward_policy"": ""Backward.Free"", ""clip_grad_param"": 10, ""do_length_normalize"": false, ""do_parameterize_p_b"": true, ""num_thermometer_dim"": 32, ""use_alpha_scheduler"": true, ""bootstrap_own_reward"": false, ""do_correct_idempotent"": false, ""reward_loss_multiplier"": 1}","{""Var-true"": 898.3335571289062, ""_runtime"": 14424.048060178757, ""_step"": 4999, ""_timestamp"": 1774558194.6798751, ""_wandb"": {""runtime"": 14434}, ""all_num_modes"": 8942, ""alpha"": 0.498161107301712, ""entropy"": 71.02084350585938, ""grad_norm"": 172.70274353027344, ""grad_norm_clip"": 60.33451843261719, ""invalid_logprob"": 0, ""invalid_losses"": 0, ""invalid_trajectories"": 0, ""iteration"": 5000, ""length"": 27, ""logZ"": 34.29438781738281, ""loss"": 11.93056297302246, ""offline_loss"": 0, ""online_loss"": 11.93056297302246, ""onpolicy_mode_tanimoto_diversity"": 0.28517159939532305, ""onpolicy_num_modes"": 4, ""onpolicy_tanimoto_diversity"": 0.2530153789350854, ""paper_num_modes"": 0, ""paper_num_modes_frac"": 0, ""paper_onpolicy_num_modes"": 0, ""random_action_prob"": 0.0005, ""reward_loss"": 0, ""sampled_reward_avg"": 0.9174962043762208, ""time_spent"": 6.53179669380188, ""top1000_tanimoto_diversity"": 0.2441679354614963, ""top100_tanimoto_diversity"": 0.231529403684974, ""train_time"": 0.2069835662841797, ""unique_valid_smiles_seen"": 319693}"
still-valley-1,as1hopo5,finished,2026-03-27T05:48:52Z,PBP-Alpha-Diversity-0327,1969773923-shanghai-jiao-tong-university,"{""opt"": ""adam"", ""seed"": 0, ""alpha"": 0.1, ""method"": ""PBP_TB"", ""epsilon"": null, ""variant"": ""TBVariant.TB"", ""adam_eps"": 1e-08, ""lr_decay"": 20000, ""momentum"": 0.9, ""cum_subtb"": true, ""Z_lr_decay"": 50000, ""model_seed"": 0, ""alpha_final"": 0.5, ""alpha_sched"": ""hold_exp"", ""dist_params"": [64, 64], ""sample_dist"": ""constant"", ""do_predict_n"": false, ""weight_decay"": 1e-08, ""do_sample_p_b"": true, ""learning_rate"": 0.0001, ""sampling_seed"": 0, ""subtb_max_len"": 128, ""clip_grad_type"": ""norm"", ""Z_learning_rate"": 0.001, ""alpha_warm_frac"": 0.8, ""backward_policy"": ""Backward.Free"", ""clip_grad_param"": 10, ""do_length_normalize"": false, ""do_parameterize_p_b"": true, ""num_thermometer_dim"": 32, ""use_alpha_scheduler"": true, ""bootstrap_own_reward"": false, ""do_correct_idempotent"": false, ""reward_loss_multiplier"": 1}","{""Var-true"": 1265.4683837890625, ""_runtime"": 14878.986456632614, ""_step"": 4999, ""_timestamp"": 1774558649.6042795, ""_wandb"": {""runtime"": 14890}, ""all_num_modes"": 9034, ""alpha"": 0.49264436960220337, ""entropy"": 73.30304718017578, ""grad_norm"": 140.68284606933594, ""grad_norm_clip"": 52.871437072753906, ""invalid_logprob"": 0, ""invalid_losses"": 0, ""invalid_trajectories"": 0, ""iteration"": 5000, ""length"": 27, ""logZ"": 33.862430572509766, ""loss"": 13.28940773010254, ""offline_loss"": 0, ""online_loss"": 13.28940773010254, ""onpolicy_mode_tanimoto_diversity"": 0.2817953303563529, ""onpolicy_num_modes"": 7, ""onpolicy_tanimoto_diversity"": 0.24664841970294385, ""paper_num_modes"": 0, ""paper_num_modes_frac"": 0, ""paper_onpolicy_num_modes"": 0, ""random_action_prob"": 0.0005, ""reward_loss"": 0, ""sampled_reward_avg"": 0.9251667857170104, ""time_spent"": 2.2478413581848145, ""top1000_tanimoto_diversity"": 0.2487351849795951, ""top100_tanimoto_diversity"": 0.2354165126688928, ""train_time"": 0.23744750022888184, ""unique_valid_smiles_seen"": 319667}"
electric-pond-17,fo0imdpv,finished,2026-03-27T05:48:52Z,PBP-Alpha-Diversity-0327,1969773923-shanghai-jiao-tong-university,"{""opt"": ""adam"", ""seed"": 0, ""alpha"": 0.9, ""method"": ""PBP_TB"", ""epsilon"": null, ""variant"": ""TBVariant.TB"", ""adam_eps"": 1e-08, ""lr_decay"": 20000, ""momentum"": 0.9, ""cum_subtb"": true, ""Z_lr_decay"": 50000, ""model_seed"": 0, ""alpha_final"": 0.5, ""alpha_sched"": ""hold_exp"", ""dist_params"": [64, 64], ""sample_dist"": ""constant"", ""do_predict_n"": false, ""weight_decay"": 1e-08, ""do_sample_p_b"": true, ""learning_rate"": 0.0001, ""sampling_seed"": 2, ""subtb_max_len"": 128, ""clip_grad_type"": ""norm"", ""Z_learning_rate"": 0.001, ""alpha_warm_frac"": 0.8, ""backward_policy"": ""Backward.Free"", ""clip_grad_param"": 10, ""do_length_normalize"": false, ""do_parameterize_p_b"": true, ""num_thermometer_dim"": 32, ""use_alpha_scheduler"": true, ""bootstrap_own_reward"": false, ""do_correct_idempotent"": false, ""reward_loss_multiplier"": 1}","{""Var-true"": 827.93505859375, ""_runtime"": 6973.05873131752, ""_step"": 4999, ""_timestamp"": 1774551143.1668353, ""_wandb"": {""runtime"": 6981}, ""all_num_modes"": 35, ""alpha"": 0.5073556303977966, ""entropy"": 47.77510070800781, ""grad_norm"": 143.6558380126953, ""grad_norm_clip"": 51.47786331176758, ""invalid_logprob"": 0, ""invalid_losses"": 0, ""invalid_trajectories"": 0, ""iteration"": 5000, ""length"": 26.859375, ""logZ"": 16.65154266357422, ""loss"": 15.146743774414062, ""offline_loss"": 0, ""online_loss"": 15.146743774414062, ""onpolicy_mode_tanimoto_diversity"": ""NaN"", ""onpolicy_num_modes"": 0, ""onpolicy_tanimoto_diversity"": 0.13400777810725323, ""paper_num_modes"": 0, ""paper_num_modes_frac"": 0, ""paper_onpolicy_num_modes"": 0, ""random_action_prob"": 0.0005, ""reward_loss"": 0, ""sampled_reward_avg"": 0.8776997923851013, ""time_spent"": 2.028878927230835, ""top1000_tanimoto_diversity"": 0.16294023871679614, ""top100_tanimoto_diversity"": 0.15202427086463602, ""train_time"": 0.2995777130126953, ""unique_valid_smiles_seen"": 68230}"
wise-snow-17,gxiwn3ov,finished,2026-03-27T05:48:52Z,PBP-Alpha-Diversity-0327,1969773923-shanghai-jiao-tong-university,"{""opt"": ""adam"", ""seed"": 0, ""alpha"": 0.2, ""method"": ""PBP_TB"", ""epsilon"": null, ""variant"": ""TBVariant.TB"", ""adam_eps"": 1e-08, ""lr_decay"": 20000, ""momentum"": 0.9, ""cum_subtb"": true, ""Z_lr_decay"": 50000, ""model_seed"": 0, ""alpha_final"": 0.5, ""alpha_sched"": ""hold_exp"", ""dist_params"": [64, 64], ""sample_dist"": ""constant"", ""do_predict_n"": false, ""weight_decay"": 1e-08, ""do_sample_p_b"": true, ""learning_rate"": 0.0001, ""sampling_seed"": 2, ""subtb_max_len"": 128, ""clip_grad_type"": ""norm"", ""Z_learning_rate"": 0.001, ""alpha_warm_frac"": 0.8, ""backward_policy"": ""Backward.Free"", ""clip_grad_param"": 10, ""do_length_normalize"": false, ""do_parameterize_p_b"": true, ""num_thermometer_dim"": 32, ""use_alpha_scheduler"": true, ""bootstrap_own_reward"": false, ""do_correct_idempotent"": false, ""reward_loss_multiplier"": 1}","{""Var-true"": 3061.75390625, ""_runtime"": 13940.411342382433, ""_step"": 4999, ""_timestamp"": 1774557750.3052645, ""_wandb"": {""runtime"": 13945}, ""all_num_modes"": 9234, ""alpha"": 0.4944832921028137, ""entropy"": 72.66839599609375, ""grad_norm"": 182.6711578369141, ""grad_norm_clip"": 54.090049743652344, ""invalid_logprob"": 0, ""invalid_losses"": 0, ""invalid_trajectories"": 0, ""iteration"": 5000, ""length"": 27, ""logZ"": 34.19923782348633, ""loss"": 21.5917911529541, ""offline_loss"": 0, ""online_loss"": 21.5917911529541, ""onpolicy_mode_tanimoto_diversity"": 0.25989943431803897, ""onpolicy_num_modes"": 2, ""onpolicy_tanimoto_diversity"": 0.242673841989601, ""paper_num_modes"": 0, ""paper_num_modes_frac"": 0, ""paper_onpolicy_num_modes"": 0, ""random_action_prob"": 0.0005, ""reward_loss"": 0, ""sampled_reward_avg"": 0.9204130172729492, ""time_spent"": 1.9052085876464844, ""top1000_tanimoto_diversity"": 0.24740291396465935, ""top100_tanimoto_diversity"": 0.2357372949327911, ""train_time"": 0.22916936874389648, ""unique_valid_smiles_seen"": 319717}"
