metric_key,present_count,present_ratio,numeric_count,numeric_ratio
Var-true,27,1.0,27,1.0
_runtime,27,1.0,27,1.0
_step,27,1.0,27,1.0
_timestamp,27,1.0,27,1.0
_wandb,27,1.0,0,0.0
all_num_modes,27,1.0,27,1.0
alpha,27,1.0,27,1.0
entropy,27,1.0,27,1.0
grad_norm,27,1.0,27,1.0
grad_norm_clip,27,1.0,27,1.0
invalid_logprob,27,1.0,27,1.0
invalid_losses,27,1.0,27,1.0
invalid_trajectories,27,1.0,27,1.0
iteration,27,1.0,27,1.0
length,27,1.0,27,1.0
logZ,27,1.0,27,1.0
loss,27,1.0,27,1.0
offline_loss,27,1.0,27,1.0
online_loss,27,1.0,27,1.0
onpolicy_mode_tanimoto_diversity,27,1.0,16,0.5925925925925926
onpolicy_num_modes,27,1.0,27,1.0
onpolicy_tanimoto_diversity,27,1.0,27,1.0
paper_num_modes,27,1.0,27,1.0
paper_num_modes_frac,27,1.0,27,1.0
paper_onpolicy_num_modes,27,1.0,27,1.0
random_action_prob,27,1.0,27,1.0
reward_loss,27,1.0,27,1.0
sampled_reward_avg,27,1.0,27,1.0
time_spent,27,1.0,27,1.0
top1000_tanimoto_diversity,27,1.0,27,1.0
top100_tanimoto_diversity,27,1.0,27,1.0
train_time,27,1.0,27,1.0
unique_valid_smiles_seen,27,1.0,27,1.0
