target,selected_metric,status,alpha_init,n_runs,mean,std,mean+-std
diversity,top1000_tanimoto_diversity,available,0.1,3,0.2494252148540209,0.002456542068065036,0.249425+-0.00245654
diversity,top1000_tanimoto_diversity,available,0.2,3,0.24565283046516717,0.00396881177199893,0.245653+-0.00396881
diversity,top1000_tanimoto_diversity,available,0.3,3,0.24716314430845285,0.00035260149963759277,0.247163+-0.000352601
diversity,top1000_tanimoto_diversity,available,0.4,3,0.24749282379555027,0.0031569481602020844,0.247493+-0.00315695
diversity,top1000_tanimoto_diversity,available,0.5,3,0.25328756012574827,0.0025998392977951,0.253288+-0.00259984
diversity,top1000_tanimoto_diversity,available,0.6,3,0.25754432578553277,0.006349357648203652,0.257544+-0.00634936
diversity,top1000_tanimoto_diversity,available,0.7,3,0.2549617817767022,0.0064065238515044675,0.254962+-0.00640652
diversity,top1000_tanimoto_diversity,available,0.8,3,0.25121048047225764,0.00468420148753942,0.25121+-0.0046842
diversity,top1000_tanimoto_diversity,available,0.9,3,0.16627051123808992,0.004667388986011263,0.166271+-0.00466739
modes,all_num_modes,proxy,0.1,3,9321.666666666666,319.16192337641615,9321.67+-319.162
modes,all_num_modes,proxy,0.2,3,9316.333333333334,145.2113402366817,9316.33+-145.211
modes,all_num_modes,proxy,0.3,3,8988.333333333334,417.30724093086775,8988.33+-417.307
modes,all_num_modes,proxy,0.4,3,8706.0,227.5346127515548,8706+-227.535
modes,all_num_modes,proxy,0.5,3,8149.333333333333,262.97972038416447,8149.33+-262.98
modes,all_num_modes,proxy,0.6,3,7529.666666666667,615.3066985929321,7529.67+-615.307
modes,all_num_modes,proxy,0.7,3,7501.333333333333,951.5158082414255,7501.33+-951.516
modes,all_num_modes,proxy,0.8,3,4769.0,3462.508339340138,4769+-3462.51
modes,all_num_modes,proxy,0.9,3,41.333333333333336,7.094598884597588,41.3333+-7.0946
spearman correlation,N/A,missing,0.1,3,,,N/A
spearman correlation,N/A,missing,0.2,3,,,N/A
spearman correlation,N/A,missing,0.3,3,,,N/A
spearman correlation,N/A,missing,0.4,3,,,N/A
spearman correlation,N/A,missing,0.5,3,,,N/A
spearman correlation,N/A,missing,0.6,3,,,N/A
spearman correlation,N/A,missing,0.7,3,,,N/A
spearman correlation,N/A,missing,0.8,3,,,N/A
spearman correlation,N/A,missing,0.9,3,,,N/A
top rewards,sampled_reward_avg,proxy,0.1,3,0.9148897528648376,0.009360923129664963,0.91489+-0.00936092
top rewards,sampled_reward_avg,proxy,0.2,3,0.9153964320818583,0.006485020743458514,0.915396+-0.00648502
top rewards,sampled_reward_avg,proxy,0.3,3,0.9187196493148804,0.014448243333772006,0.91872+-0.0144482
top rewards,sampled_reward_avg,proxy,0.4,3,0.9188899199167887,0.0015017790815683837,0.91889+-0.00150178
top rewards,sampled_reward_avg,proxy,0.5,3,0.9058302640914917,0.009473651757398796,0.90583+-0.00947365
top rewards,sampled_reward_avg,proxy,0.6,3,0.898328423500061,0.005419526776939777,0.898328+-0.00541953
top rewards,sampled_reward_avg,proxy,0.7,3,0.9175654053688049,0.00830785073039683,0.917565+-0.00830785
top rewards,sampled_reward_avg,proxy,0.8,3,0.8891841769218445,0.009399301627871918,0.889184+-0.0093993
top rewards,sampled_reward_avg,proxy,0.9,3,0.870827317237854,0.011622621166432052,0.870827+-0.0116226
